#idx,cloud,runtime,memory_mb,region,total_ms,measured_ms,latency_ms,name
1,aws,python,128,eu-central-1,8287,8040,247,AWS 128 MB
1,aws,python,128,eu-central-1,8248,7887,361,AWS 128 MB
1,aws,python,128,eu-central-1,8051,7904,147,AWS 128 MB
1,aws,python,128,eu-central-1,8004,7827,177,AWS 128 MB
1,aws,python,128,eu-central-1,8064,7892,172,AWS 128 MB
1,aws,python,128,eu-central-1,8082,7912,170,AWS 128 MB
1,aws,python,128,eu-central-1,8103,7921,182,AWS 128 MB
1,aws,python,128,eu-central-1,8039,7868,171,AWS 128 MB
1,aws,python,128,eu-central-1,8093,7939,154,AWS 128 MB
1,aws,python,128,eu-central-1,8125,7896,229,AWS 128 MB
1,aws,python,128,eu-central-1,8054,7912,142,AWS 128 MB
1,aws,python,128,eu-central-1,8068,7896,172,AWS 128 MB
1,aws,python,128,eu-central-1,8072,7937,135,AWS 128 MB
1,aws,python,128,eu-central-1,8041,7899,142,AWS 128 MB
1,aws,python,128,eu-central-1,8068,7919,149,AWS 128 MB
1,aws,python,128,eu-central-1,8083,7919,164,AWS 128 MB
1,aws,python,128,eu-central-1,8082,7925,157,AWS 128 MB
1,aws,python,128,eu-central-1,8075,7883,192,AWS 128 MB
1,aws,python,128,eu-central-1,8058,7922,136,AWS 128 MB
1,aws,python,128,eu-central-1,7989,7823,166,AWS 128 MB
1,aws,python,128,eu-central-1,8032,7907,125,AWS 128 MB
1,aws,python,128,eu-central-1,7995,7857,138,AWS 128 MB
1,aws,python,128,eu-central-1,8078,7938,140,AWS 128 MB
1,aws,python,128,eu-central-1,8025,7852,173,AWS 128 MB
1,aws,python,128,eu-central-1,8073,7931,142,AWS 128 MB
1,aws,python,128,eu-central-1,8049,7911,138,AWS 128 MB
1,aws,python,128,eu-central-1,8102,7943,159,AWS 128 MB
1,aws,python,128,eu-central-1,8045,7868,177,AWS 128 MB
1,aws,python,128,eu-central-1,8069,7903,166,AWS 128 MB
1,aws,python,128,eu-central-1,8023,7869,154,AWS 128 MB
1,aws,python,128,eu-central-1,8075,7945,130,AWS 128 MB
1,aws,python,128,eu-central-1,8051,7889,162,AWS 128 MB
1,aws,python,128,eu-central-1,8142,7922,220,AWS 128 MB
1,aws,python,128,eu-central-1,8034,7918,116,AWS 128 MB
1,aws,python,128,eu-central-1,8094,7932,162,AWS 128 MB
1,aws,python,128,eu-central-1,8246,7844,402,AWS 128 MB
1,aws,python,128,eu-central-1,8032,7907,125,AWS 128 MB
1,aws,python,128,eu-central-1,8145,7908,237,AWS 128 MB
1,aws,python,128,eu-central-1,8128,7965,163,AWS 128 MB
1,aws,python,128,eu-central-1,8077,7898,179,AWS 128 MB
1,aws,python,128,eu-central-1,8069,7945,124,AWS 128 MB
1,aws,python,128,eu-central-1,8001,7864,137,AWS 128 MB
1,aws,python,128,eu-central-1,8064,7926,138,AWS 128 MB
1,aws,python,128,eu-central-1,8043,7909,134,AWS 128 MB
1,aws,python,128,eu-central-1,8079,7930,149,AWS 128 MB
1,aws,python,128,eu-central-1,8149,7859,290,AWS 128 MB
1,aws,python,128,eu-central-1,8159,8007,152,AWS 128 MB
1,aws,python,128,eu-central-1,8081,7892,189,AWS 128 MB
1,aws,python,128,eu-central-1,8095,7939,156,AWS 128 MB
1,aws,python,128,eu-central-1,8029,7861,168,AWS 128 MB
1,aws,python,128,eu-central-1,8220,7963,257,AWS 128 MB
1,aws,python,128,eu-central-1,8052,7862,190,AWS 128 MB
1,aws,python,128,eu-central-1,8095,7889,206,AWS 128 MB
1,aws,python,128,eu-central-1,8010,7849,161,AWS 128 MB
1,aws,python,128,eu-central-1,8091,7922,169,AWS 128 MB
1,aws,python,128,eu-central-1,8185,7904,281,AWS 128 MB
1,aws,python,128,eu-central-1,8084,7919,165,AWS 128 MB
1,aws,python,128,eu-central-1,8115,7887,228,AWS 128 MB
1,aws,python,128,eu-central-1,8084,7923,161,AWS 128 MB
1,aws,python,128,eu-central-1,8037,7877,160,AWS 128 MB
1,aws,python,128,eu-central-1,8139,7963,176,AWS 128 MB
1,aws,python,128,eu-central-1,8050,7902,148,AWS 128 MB
1,aws,python,128,eu-central-1,8094,7940,154,AWS 128 MB
1,aws,python,128,eu-central-1,8050,7875,175,AWS 128 MB
1,aws,python,128,eu-central-1,8096,7933,163,AWS 128 MB
1,aws,python,128,eu-central-1,8047,7881,166,AWS 128 MB
1,aws,python,128,eu-central-1,8091,7943,148,AWS 128 MB
1,aws,python,128,eu-central-1,8031,7872,159,AWS 128 MB
1,aws,python,128,eu-central-1,8127,7964,163,AWS 128 MB
1,aws,python,128,eu-central-1,7985,7850,135,AWS 128 MB
1,aws,python,128,eu-central-1,8153,7977,176,AWS 128 MB
1,aws,python,128,eu-central-1,8044,7879,165,AWS 128 MB
1,aws,python,128,eu-central-1,8093,7877,216,AWS 128 MB
1,aws,python,128,eu-central-1,8063,7920,143,AWS 128 MB
1,aws,python,128,eu-central-1,8142,7966,176,AWS 128 MB
1,aws,python,128,eu-central-1,8019,7867,152,AWS 128 MB
1,aws,python,128,eu-central-1,8131,7978,153,AWS 128 MB
1,aws,python,128,eu-central-1,7994,7809,185,AWS 128 MB
1,aws,python,128,eu-central-1,8218,7904,314,AWS 128 MB
1,aws,python,128,eu-central-1,8019,7856,163,AWS 128 MB
1,aws,python,128,eu-central-1,8496,7992,504,AWS 128 MB
1,aws,python,128,eu-central-1,8070,7850,220,AWS 128 MB
1,aws,python,128,eu-central-1,8092,7956,136,AWS 128 MB
1,aws,python,128,eu-central-1,8020,7855,165,AWS 128 MB
1,aws,python,128,eu-central-1,8066,7887,179,AWS 128 MB
1,aws,python,128,eu-central-1,8037,7917,120,AWS 128 MB
1,aws,python,128,eu-central-1,8086,7898,188,AWS 128 MB
1,aws,python,128,eu-central-1,7977,7817,160,AWS 128 MB
1,aws,python,128,eu-central-1,8082,7924,158,AWS 128 MB
1,aws,python,128,eu-central-1,8031,7870,161,AWS 128 MB
1,aws,python,128,eu-central-1,8042,7886,156,AWS 128 MB
1,aws,python,128,eu-central-1,8038,7863,175,AWS 128 MB
1,aws,python,128,eu-central-1,8055,7869,186,AWS 128 MB
1,aws,python,128,eu-central-1,8045,7865,180,AWS 128 MB
1,aws,python,128,eu-central-1,8135,7946,189,AWS 128 MB
1,aws,python,128,eu-central-1,7998,7857,141,AWS 128 MB
1,aws,python,128,eu-central-1,8027,7905,122,AWS 128 MB
1,aws,python,128,eu-central-1,8079,7898,181,AWS 128 MB
1,aws,python,128,eu-central-1,8101,7905,196,AWS 128 MB
1,aws,python,128,eu-central-1,8041,7868,173,AWS 128 MB
2,aws,python,256,eu-central-1,4073,3911,162,AWS 256 MB
