     1	283.0 295.0 302.0 845.0 275.0 845.0 351.5
     2	230.0 247.0 250.0 276.0 224.0 276.0 246.0
     3	236.0 258.0 274.0 357.0 223.0 357.0 266.6
     4	1633.0 1667.0 1738.0 1798.0 1539.0 1798.0 1688.5
     5	2382.0 2446.0 2601.0 2795.0 2275.0 2795.0 2511.0
     6	3741.0 3966.0 4273.0 4974.0 3226.0 4974.0 4085.5
     7	2528.0 3006.0 3055.0 4517.0 2325.0 4517.0 3019.4
     8	3061.0 3705.0 3839.0 4937.0 2507.0 4937.0 3636.8
     9	1428.0 1578.0 1800.0 3419.0 1256.0 3419.0 1864.2
    10	1678.0 1870.0 2081.0 2294.0 1559.0 2294.0 1933.0
    11	2397.0 2467.0 2652.0 3847.0 2160.0 3847.0 2694.2
    12	1473.0 1557.0 1611.0 2067.0 1178.0 2067.0 1613.1
    13	794.0 814.0 833.0 925.0 779.0 925.0 826.3
    14	629.0 649.0 661.0 675.0 599.0 675.0 645.6
    15	761.0 763.0 785.0 906.0 733.0 906.0 788.3
    16	1631.0 1670.0 1682.0 1829.0 1583.0 1829.0 1669.5
