name,time,ms,provider,region
latency,1579030644430945396,220,ibm,eu-de
latency,1579030645230377108,296,google,us-central1
latency,1579030646131130914,398,aws,us-east-2
latency,1579030646920348450,284,ibm,eu-gb
latency,1579030647613336083,192,google,us-east1
latency,1579030648571036697,454,aws,us-east-1
latency,1579030649945480271,873,azure,eastasia
latency,1579030651091345845,642,ibm,us-south
latency,1579030651779691407,186,google,us-east4
latency,1579030652849048579,567,aws,us-west-1
latency,1579030653897109286,545,ibm,us-east
latency,1579030654542945840,141,google,europe-west1
latency,1579030656095377682,1048,aws,us-west-2
latency,1579030657002377867,404,aws,ap-south-1
latency,1579030657754935138,250,google,europe-west2
latency,1579030658512690161,253,azure,northeurope
latency,1579030661194886986,2068,google,asia-east2
latency,1579030662935323523,1238,aws,ap-northeast-2
latency,1579030664107397634,668,azure,southcentralus
latency,1579030665357563118,747,aws,ap-southeast-1
latency,1579030667655149703,1794,google,asia-northeast1
latency,1579030668909774413,748,azure,southeastasia
latency,1579030670383460608,972,aws,ap-southeast-2
latency,1579030671786006338,893,aws,ap-northeast-1
latency,1579030672564605198,276,azure,westeurope
latency,1579030673493105930,426,aws,ca-central-1
latency,1579030674112253802,114,aws,eu-central-1
latency,1579030674810586510,192,aws,eu-west-1
latency,1579030676133507170,821,azure,westus2
latency,1579030676804557665,165,aws,eu-west-2
latency,1579030677497924763,191,aws,eu-west-3
latency,1579030678186460098,187,aws,eu-north-1
latency,1579030679457880262,769,aws,sa-east-1
latency,1579030680675356575,707,aws,me-south-1
latency,1579030681875836792,698,aws,ap-east-1
latency,1579030682937412457,561,azure,eastus
latency,1579030683980086115,540,azure,eastus2
latency,1579030684684075222,204,azure,uksouth
latency,1579030686484838189,1293,ibm,jp-tok
latency,1579030687190226904,200,ibm,eu-de
latency,1579030687884226242,190,google,us-central1
latency,1579030688781379752,393,aws,us-east-2
latency,1579030689507949414,224,ibm,eu-gb
latency,1579030690715648359,707,google,us-east1
latency,1579030691572241122,353,aws,us-east-1
latency,1579030692933620778,861,azure,eastasia
latency,1579030694027454241,591,ibm,us-south
latency,1579030694779211011,251,google,us-east4
latency,1579030695916973521,635,aws,us-west-1
