cloud,ms
aws-us-east-1,454
aws-us-east-1,353
aws-us-east-1,176
aws-us-east-1,174
aws-us-east-1,346
aws-us-east-1,167
aws-us-east-1,347
aws-us-east-1,355
aws-us-east-1,347
aws-us-east-1,360
aws-us-east-1,148
aws-us-east-1,353
aws-us-east-1,371
aws-us-east-1,449
aws-us-east-1,356
aws-us-east-1,166
aws-us-east-1,345
aws-us-east-1,156
aws-us-east-1,168
aws-us-east-1,343
aws-us-east-1,152
aws-us-east-1,347
aws-us-east-1,386
aws-us-east-1,146
aws-us-east-1,344
aws-us-east-1,151
aws-us-east-1,374
aws-us-east-1,352
aws-us-east-1,350
aws-us-east-1,149
aws-us-east-1,372
aws-us-east-1,189
aws-us-east-1,358
aws-us-east-1,188
aws-us-east-1,361
aws-us-east-1,175
aws-us-east-1,373
aws-us-east-1,346
aws-us-east-1,152
aws-us-east-1,156
aws-us-east-1,472
aws-us-east-1,354
aws-us-east-1,344
aws-us-east-1,156
aws-us-east-1,361
aws-us-east-1,381
aws-us-east-1,349
aws-us-east-1,358
aws-us-east-1,370
aws-us-east-1,355
aws-us-east-1,166
aws-us-east-1,376
aws-us-east-1,159
aws-us-east-1,199
aws-us-east-1,352
aws-us-east-1,373
aws-us-east-1,346
aws-us-east-1,374
aws-us-east-1,149
aws-us-east-1,355
aws-us-east-1,384
aws-us-east-1,364
aws-us-east-1,160
aws-us-east-1,389
aws-us-east-1,163
aws-us-east-1,368
aws-us-east-1,370
aws-us-east-1,436
aws-us-east-1,371
aws-us-east-1,170
aws-us-east-1,381
aws-us-east-1,396
aws-us-east-1,357
aws-us-east-1,188
aws-us-east-1,363
aws-us-east-1,362
aws-us-east-1,156
aws-us-east-1,380
aws-us-east-1,350
aws-us-east-1,439
aws-us-east-1,371
aws-us-east-1,358
aws-us-east-1,359
aws-us-east-1,392
aws-us-east-1,387
aws-us-east-1,367
aws-us-east-1,359
aws-us-east-1,359
aws-us-east-1,383
aws-us-east-1,162
aws-us-east-1,168
aws-us-east-1,481
aws-us-east-1,408
aws-us-east-1,358
aws-us-east-1,378
aws-us-east-1,187
aws-us-east-1,362
aws-us-east-1,469
aws-us-east-1,368
aws-us-east-1,178
aws-us-east-2,398
aws-us-east-2,393
aws-us-east-2,403
aws-us-east-2,393
aws-us-east-2,375
aws-us-east-2,484
aws-us-east-2,381
aws-us-east-2,397
aws-us-east-2,400
aws-us-east-2,403
aws-us-east-2,385
aws-us-east-2,373
aws-us-east-2,405
aws-us-east-2,382
aws-us-east-2,480
aws-us-east-2,393
aws-us-east-2,369
aws-us-east-2,375
aws-us-east-2,401
aws-us-east-2,376
aws-us-east-2,377
aws-us-east-2,372
aws-us-east-2,422
aws-us-east-2,398
aws-us-east-2,379
aws-us-east-2,376
aws-us-east-2,385
aws-us-east-2,374
aws-us-east-2,370
aws-us-east-2,374
aws-us-east-2,455
aws-us-east-2,159
aws-us-east-2,379
aws-us-east-2,375
aws-us-east-2,373
aws-us-east-2,391
aws-us-east-2,163
aws-us-east-2,155
aws-us-east-2,156
aws-us-east-2,392
aws-us-east-2,390
aws-us-east-2,399
aws-us-east-2,393
aws-us-east-2,384
aws-us-east-2,161
aws-us-east-2,405
aws-us-east-2,377
aws-us-east-2,377
aws-us-east-2,377
aws-us-east-2,374
aws-us-east-2,161
aws-us-east-2,405
aws-us-east-2,384
aws-us-east-2,379
aws-us-east-2,385
aws-us-east-2,388
aws-us-east-2,383
aws-us-east-2,430
aws-us-east-2,380
aws-us-east-2,389
aws-us-east-2,191
aws-us-east-2,384
aws-us-east-2,406
aws-us-east-2,397
aws-us-east-2,394
aws-us-east-2,389
aws-us-east-2,383
aws-us-east-2,160
aws-us-east-2,393
aws-us-east-2,390
aws-us-east-2,447
aws-us-east-2,422
aws-us-east-2,399
aws-us-east-2,400
aws-us-east-2,394
aws-us-east-2,404
aws-us-east-2,180
aws-us-east-2,425
aws-us-east-2,387
aws-us-east-2,399
aws-us-east-2,178
aws-us-east-2,398
aws-us-east-2,171
