name,time,ms,measured_ms,provider,language,memory,region
factors,1579181370940802193,340,96,ibm,go,128,eu-de
factors,1579181370972686173,371,46.7222,ibm,dotnet,128,eu-de
factors,1579181371017248878,417,85.94040000000001,azure,dotnet,128,westeurope
factors,1579181371326319643,724,281.62690000000003,azureWindows,dotnet,128,westeurope
factors,1579181371484187069,885,715.6642,aws,dotnet,128,eu-central-1
factors,1579181371538715286,943,680.4296970367432,ibm,python,128,eu-de
factors,1579181371722613060,1123,964,aws,go,128,eu-central-1
factors,1579181371911675493,1328,1198,google,go,128,europe-west1
factors,1579181372199621284,1601,1225.8679866790771,azure,python,128,westeurope
factors,1579181373408166494,2810,2484.283,azure,node,128,westeurope
factors,1579181375664766523,5069,4762.838,ibm,node,128,eu-de
factors,1579181375783458149,202,47.902100000000004,ibm,dotnet,128,eu-de
factors,1579181375824624765,243,86.92660000000001,azure,dotnet,128,westeurope
factors,1579181375841870736,263,93,ibm,go,128,eu-de
factors,1579181376292687622,710,277.7378,azureWindows,dotnet,128,westeurope
factors,1579181376344350359,765,669.6171,aws,dotnet,128,eu-central-1
factors,1579181376378659791,803,679.8756122589111,ibm,python,128,eu-de
factors,1579181376639342811,1061,961,aws,go,128,eu-central-1
factors,1579181376798144239,6196,5742.126,azureWindows,node,128,westeurope
factors,1579181376809542101,1238,1096,google,go,128,europe-west1
factors,1579181377155716833,1575,1390.5141353607178,azure,python,128,westeurope
factors,1579181377244035706,6650,6306.469917297363,google,python,128,europe-west1
factors,1579181378252471107,2674,2460.491,azure,node,128,westeurope
factors,1579181378883777435,8287,8040.125131607056,aws,python,128,eu-central-1
factors,1579181380111917784,4537,4308.392,ibm,node,128,eu-de
factors,1579181380769593752,188,45.9401,ibm,dotnet,128,eu-de
factors,1579181380777561052,197,83.7427,azure,dotnet,128,westeurope
factors,1579181380862112180,283,95,ibm,go,128,eu-de
factors,1579181381417016984,441,249.5847,azureWindows,dotnet,128,westeurope
factors,1579181381417175568,840,674.5836734771729,ibm,python,128,eu-de
factors,1579181381417284501,746,662.9773,aws,dotnet,128,eu-central-1
factors,1579181381420829268,5848,1229.341745376587,google,python,128,europe-west1
factors,1579181381514481295,941,808,google,go,128,europe-west1
factors,1579181381538143187,960,864,aws,go,128,eu-central-1
factors,1579181381955749355,1375,1245.5828189849854,azure,python,128,westeurope
factors,1579181382837572589,2258,2063.617,azure,node,128,westeurope
factors,1579181383824001007,8248,7886.85941696167,aws,python,128,eu-central-1
factors,1579181384106392833,8533,4518.726,google,node,128,europe-west1
factors,1579181385787518172,202,46.0432,ibm,dotnet,128,eu-de
factors,1579181385808124978,226,82.64370000000001,azure,dotnet,128,westeurope
factors,1579181386206035196,326,93,ibm,go,128,eu-de
factors,1579181386207099380,355,245.06320000000002,azureWindows,dotnet,128,westeurope
factors,1579181386324639585,745,663.0803000000001,aws,dotnet,128,eu-central-1
factors,1579181386430901121,855,676.8620014190674,ibm,python,128,eu-de
factors,1579181386599860739,1022,940,aws,go,128,eu-central-1
factors,1579181386608875585,1035,901,google,go,128,europe-west1
factors,1579181386923771530,1342,1204.5881748199463,azure,python,128,westeurope
factors,1579181386932795252,6351,6185.3,azureWindows,node,128,westeurope
factors,1579181387332278650,6758,1872.4167346954346,google,python,128,europe-west1
factors,1579181387845167451,7269,7019.382,ibm,node,128,eu-de
factors,1579181387943388551,2365,2231.173,azure,node,128,westeurope
factors,1579181388507003553,7933,4414.353,google,node,128,europe-west1
factors,1579181388628217543,8051,7903.76877784729,aws,python,128,eu-central-1
factors,1579181388892401691,18296,18082.938,aws,node,128,eu-central-1
factors,1579181390595215473,5021,2821.864,google,node,128,europe-west1
factors,1579181390811033450,228,96.0763,azure,dotnet,128,westeurope
factors,1579181390826203041,241,46.47,ibm,dotnet,128,eu-de
factors,1579181390851558917,271,93,ibm,go,128,eu-de
factors,1579181390993926541,407,257.7942,azureWindows,dotnet,128,westeurope
factors,1579181391384992771,801,702.1104,aws,dotnet,128,eu-central-1
factors,1579181391451734018,873,678.8537502288818,ibm,python,128,eu-de
factors,1579181391601896592,1020,940,aws,go,128,eu-central-1
factors,1579181391613348788,1037,901,google,go,128,europe-west1
factors,1579181391933127156,1350,1196.8424320220947,azure,python,128,westeurope
factors,1579181392159518058,6585,1867.2120571136475,google,python,128,europe-west1
factors,1579181392465177868,21870,21595.513,google,node,128,europe-west1
factors,1579181392891557164,2310,2125.774,azure,node,128,westeurope
factors,1579181393123158148,17545,17102.777,aws,node,128,eu-central-1
factors,1579181393580446169,8004,7827.232122421265,aws,python,128,eu-central-1
factors,1579181393793695637,8210,5459.619,azureWindows,node,128,westeurope
factors,1579181394577066862,9001,5629.318,ibm,node,128,eu-de
factors,1579181395812985492,230,46.3447,ibm,dotnet,128,eu-de
factors,1579181395821715705,240,89.4217,azure,dotnet,128,westeurope
factors,1579181395844582418,265,92,ibm,go,128,eu-de
factors,1579181395957522256,373,230.941,azureWindows,dotnet,128,westeurope
factors,1579181396155868090,5570,5366.21,azureWindows,node,128,westeurope
factors,1579181396344088623,763,681.7334000000001,aws,dotnet,128,eu-central-1
factors,1579181396416740667,839,673.7115383148193,ibm,python,128,eu-de
factors,1579181396507737702,933,847,google,go,128,europe-west1
factors,1579181396580785595,1001,908,aws,go,128,eu-central-1
factors,1579181396963963222,1382,1224.0126132965088,azure,python,128,westeurope
factors,1579181397486245534,6908,6677.119,ibm,node,128,eu-de
factors,1579181398030627103,17453,17022.053,aws,node,128,eu-central-1
factors,1579181398310029746,2729,2551.54,azure,node,128,westeurope
factors,1579181398643655232,8064,7891.673803329468,aws,python,128,eu-central-1
factors,1579181399122561995,8542,8398.780345916748,google,python,128,europe-west1
factors,1579181400790329406,199,48.1007,ibm,dotnet,128,eu-de
factors,1579181400843682026,255,93,ibm,go,128,eu-de
factors,1579181400851091359,260,126.816,azure,dotnet,128,westeurope
factors,1579181400971657799,5387,5238.088,azureWindows,node,128,westeurope
factors,1579181400971975432,379,260.0636,azureWindows,dotnet,128,westeurope
factors,1579181401071483782,5495,2943.202,google,node,128,europe-west1
factors,1579181401424331556,835,682.5051000000001,aws,dotnet,128,eu-central-1
factors,1579181401445339151,858,696.5601444244385,ibm,python,128,eu-de
factors,1579181401600403107,1013,936,aws,go,128,eu-central-1
factors,1579181401610599697,1028,956,google,go,128,europe-west1
factors,1579181401911960275,1321,1205.4903507232666,azure,python,128,westeurope
factors,1579181402884266551,7307,7098.042,ibm,node,128,eu-de
factors,1579181402940551435,17364,16903.283,aws,node,128,eu-central-1
factors,1579181403045389639,2457,2282.168,azure,node,128,westeurope
factors,1579181403660283809,8082,7911.821126937866,aws,python,128,eu-central-1
factors,1579181404321386476,8745,8502.322912216187,google,python,128,europe-west1
factors,1579181405837376002,235,47.0477,ibm,dotnet,128,eu-de
factors,1579181405889647382,297,93,ibm,go,128,eu-de
factors,1579181405932246984,336,99.62620000000001,azure,dotnet,128,westeurope
factors,1579181406053049576,5461,5279.105,azureWindows,node,128,westeurope
factors,1579181406134123735,536,247.6747,azureWindows,dotnet,128,westeurope
factors,1579181406329089125,736,661.9484,aws,dotnet,128,eu-central-1
factors,1579181406626911208,859,681.2160015106201,ibm,python,128,eu-de
factors,1579181406627999864,5868,5704.44,ibm,node,128,eu-de
factors,1579181406628108412,1010,928,aws,go,128,eu-central-1
factors,1579181406709087567,1125,1000,google,go,128,europe-west1
factors,1579181407112296088,1457,1197.6547241210938,azure,python,128,westeurope
factors,1579181407851534894,17274,17056.415,google,node,128,europe-west1
factors,1579181408026313179,2434,2166.814,azure,node,128,westeurope
factors,1579181408689631630,8103,7921.014785766602,aws,python,128,eu-central-1
factors,1579181409111202468,8528,8306.429624557495,google,python,128,europe-west1
factors,1579181409156072907,18576,18377.211,aws,node,128,eu-central-1
factors,1579181410517133716,4930,4718.196,ibm,node,128,eu-de
factors,1579181410803310054,206,46.8119,ibm,dotnet,128,eu-de
factors,1579181410829982303,233,87.3328,azure,dotnet,128,westeurope
factors,1579181410868837198,274,94,ibm,go,128,eu-de
factors,1579181410969885525,371,257.10720000000003,azureWindows,dotnet,128,westeurope
factors,1579181411042064070,5445,5190.536,azureWindows,node,128,westeurope
factors,1579181411367577719,773,683.649,aws,dotnet,128,eu-central-1
factors,1579181411449124487,858,680.9027194976807,ibm,python,128,eu-de
factors,1579181411658888495,1065,920,aws,go,128,eu-central-1
factors,1579181411682971509,6097,3494.1,google,node,128,europe-west1
factors,1579181411708709841,1120,1000,google,go,128,europe-west1
factors,1579181412158345161,1561,1388.6277675628662,azure,python,128,westeurope
factors,1579181412597578405,17018,16847.633,aws,node,128,eu-central-1
factors,1579181412953410604,2359,2157.559,azure,node,128,westeurope
factors,1579181413904611707,8039,7868.420124053955,aws,python,128,eu-central-1
factors,1579181413915369259,8331,8191.563844680786,google,python,128,europe-west1
factors,1579181414851738013,39269,12717.222,azureWindows,node,128,westeurope
factors,1579181415577051867,4510,4284.227,ibm,node,128,eu-de
factors,1579181415825414124,213,47.6555,ibm,dotnet,128,eu-de
factors,1579181415844011855,246,107.3477,azure,dotnet,128,westeurope
factors,1579181415887605221,293,93,ibm,go,128,eu-de
factors,1579181415986790176,374,257.2129,azureWindows,dotnet,128,westeurope
factors,1579181416041592134,5444,5235.988,azureWindows,node,128,westeurope
factors,1579181416366560009,769,679.1485,aws,dotnet,128,eu-central-1
factors,1579181416459575803,867,676.8276691436768,ibm,python,128,eu-de
factors,1579181416578968416,984,888,aws,go,128,eu-central-1
factors,1579181416610836407,1021,904,google,go,128,europe-west1
factors,1579181417009300345,1413,1264.0981674194336,azure,python,128,westeurope
factors,1579181417469717425,16882,16724.98,aws,node,128,eu-central-1
factors,1579181417620980569,7031,6799.472332000732,google,python,128,europe-west1
factors,1579181417947881766,2352,2185.789,azure,node,128,westeurope
factors,1579181418684998638,8093,7939.302682876587,aws,python,128,eu-central-1
factors,1579181419924139777,4332,4091.377,ibm,node,128,eu-de
factors,1579181420155560862,19571,19069.036,google,node,128,europe-west1
factors,1579181420821457174,227,87.9764,azure,dotnet,128,westeurope
factors,1579181420854779907,258,46.4572,ibm,dotnet,128,eu-de
factors,1579181420869604681,277,114,ibm,go,128,eu-de
factors,1579181420982575917,385,244.9931,azureWindows,dotnet,128,westeurope
factors,1579181421347264630,754,686.8492,aws,dotnet,128,eu-central-1
factors,1579181421419368310,830,673.0787754058838,ibm,python,128,eu-de
factors,1579181421583655525,992,908,aws,go,128,eu-central-1
factors,1579181421711702047,1121,908,google,go,128,europe-west1
factors,1579181422012257637,1418,1288.4266376495361,azure,python,128,westeurope
factors,1579181422342230565,16752,16581.279,aws,node,128,eu-central-1
factors,1579181422972671522,2380,2181.697,azure,node,128,westeurope
factors,1579181423718901629,8125,7896.260499954224,aws,python,128,eu-central-1
factors,1579181424222757605,8630,8486.41848564148,google,python,128,europe-west1
factors,1579181425047670960,4459,4262.011,ibm,node,128,eu-de
factors,1579181425831039218,224,96.5908,azure,dotnet,128,westeurope
factors,1579181425834579972,227,47.3035,ibm,dotnet,128,eu-de
factors,1579181425877334139,276,109,ibm,go,128,eu-de
factors,1579181425988171100,378,253.5471,azureWindows,dotnet,128,westeurope
factors,1579181426234059529,5637,5469.404,azureWindows,node,128,westeurope
factors,1579181426346345684,741,663.0901,aws,dotnet,128,eu-central-1
factors,1579181426446753554,852,676.4020919799805,ibm,python,128,eu-de
factors,1579181426510546788,922,842,google,go,128,europe-west1
factors,1579181426677676965,1079,995,aws,go,128,eu-central-1
factors,1579181426929533594,1324,1190.8485889434814,azure,python,128,westeurope
factors,1579181427553547064,11941,11630.952,azureWindows,node,128,westeurope
factors,1579181428044524173,2441,2282.221,azure,node,128,westeurope
factors,1579181428645561804,8054,7912.415504455566,aws,python,128,eu-central-1
factors,1579181429358315877,18765,18513.762,google,node,128,europe-west1
factors,1579181429358456043,18765,18151.977,aws,node,128,eu-central-1
factors,1579181430226901019,9639,9510.960578918457,google,python,128,europe-west1
factors,1579181430507177511,4915,4627.372,ibm,node,128,eu-de
factors,1579181430797309724,203,94,ibm,go,128,eu-de
factors,1579181430826805007,227,47.0386,ibm,dotnet,128,eu-de
factors,1579181430834500512,236,97.4174,azure,dotnet,128,westeurope
factors,1579181430971477135,371,242.7434,azureWindows,dotnet,128,westeurope
factors,1579181431365632421,768,704.6686000000001,aws,dotnet,128,eu-central-1
factors,1579181431439311304,847,671.6008186340332,ibm,python,128,eu-de
factors,1579181431581904764,989,921,aws,go,128,eu-central-1
factors,1579181431708751250,1121,993,google,go,128,europe-west1
factors,1579181431990461004,1392,1243.3702945709229,azure,python,128,westeurope
factors,1579181432657071005,17063,16851.373,aws,node,128,eu-central-1
factors,1579181432665883650,7057,6952.294,azureWindows,node,128,westeurope
factors,1579181432866131366,2270,2069.083,azure,node,128,westeurope
factors,1579181433663596416,8068,7896.077871322632,aws,python,128,eu-central-1
factors,1579181434254788741,18664,18500.101,google,node,128,europe-west1
factors,1579181435523566608,9933,9694.026470184326,google,python,128,europe-west1
factors,1579181435823909350,218,48.186,ibm,dotnet,128,eu-de
factors,1579181435841133635,236,88.6153,azure,dotnet,128,westeurope
factors,1579181435867937014,266,96,ibm,go,128,eu-de
factors,1579181435990187321,382,242.4814,azureWindows,dotnet,128,westeurope
factors,1579181436386025187,781,641.8031000000001,aws,dotnet,128,eu-central-1
factors,1579181436446921320,851,686.272382736206,ibm,python,128,eu-de
factors,1579181436567430173,5978,5765.172,ibm,node,128,eu-de
factors,1579181436606357423,1015,897,google,go,128,europe-west1
factors,1579181436640292214,1040,940,aws,go,128,eu-central-1
factors,1579181437009936701,1405,1171.9131469726562,azure,python,128,westeurope
