cloud,runtime,memory_mb,region,total_ms,measured_ms,latency_ms,name
aws,go,128,eu-central-1,1123,964,159,aws-go-128
aws,go,128,eu-central-1,1061,961,100,aws-go-128
aws,go,128,eu-central-1,960,864,96,aws-go-128
aws,go,128,eu-central-1,1022,940,82,aws-go-128
aws,go,128,eu-central-1,1020,940,80,aws-go-128
aws,go,128,eu-central-1,1001,908,93,aws-go-128
aws,go,128,eu-central-1,1013,936,77,aws-go-128
aws,go,128,eu-central-1,1010,928,82,aws-go-128
aws,go,128,eu-central-1,1065,920,145,aws-go-128
aws,go,128,eu-central-1,984,888,96,aws-go-128
aws,go,128,eu-central-1,992,908,84,aws-go-128
aws,go,128,eu-central-1,1079,995,84,aws-go-128
aws,go,128,eu-central-1,989,921,68,aws-go-128
aws,go,128,eu-central-1,1040,940,100,aws-go-128
aws,go,128,eu-central-1,1022,940,82,aws-go-128
aws,go,128,eu-central-1,1038,960,78,aws-go-128
aws,go,128,eu-central-1,1015,940,75,aws-go-128
aws,go,128,eu-central-1,1053,961,92,aws-go-128
aws,go,128,eu-central-1,1008,908,100,aws-go-128
aws,go,128,eu-central-1,1024,952,72,aws-go-128
aws,go,128,eu-central-1,1026,952,74,aws-go-128
aws,go,128,eu-central-1,993,924,69,aws-go-128
aws,go,128,eu-central-1,1009,948,61,aws-go-128
aws,go,128,eu-central-1,1002,912,90,aws-go-128
aws,go,128,eu-central-1,1038,922,116,aws-go-128
aws,go,128,eu-central-1,1023,909,114,aws-go-128
aws,go,128,eu-central-1,1034,932,102,aws-go-128
aws,go,128,eu-central-1,1038,948,90,aws-go-128
aws,go,128,eu-central-1,1084,945,139,aws-go-128
aws,go,128,eu-central-1,1081,997,84,aws-go-128
aws,go,128,eu-central-1,970,887,83,aws-go-128
aws,go,128,eu-central-1,1072,988,84,aws-go-128
aws,go,128,eu-central-1,941,872,69,aws-go-128
aws,go,128,eu-central-1,992,912,80,aws-go-128
aws,go,128,eu-central-1,945,874,71,aws-go-128
aws,go,128,eu-central-1,1265,952,313,aws-go-128
aws,go,128,eu-central-1,945,860,85,aws-go-128
aws,go,128,eu-central-1,1062,972,90,aws-go-128
aws,go,128,eu-central-1,1023,936,87,aws-go-128
aws,go,128,eu-central-1,1053,977,76,aws-go-128
aws,go,128,eu-central-1,985,924,61,aws-go-128
aws,go,128,eu-central-1,1041,944,97,aws-go-128
aws,go,128,eu-central-1,996,924,72,aws-go-128
aws,go,128,eu-central-1,1016,935,81,aws-go-128
aws,go,128,eu-central-1,995,916,79,aws-go-128
aws,go,128,eu-central-1,1013,900,113,aws-go-128
aws,go,128,eu-central-1,1048,977,71,aws-go-128
aws,go,128,eu-central-1,1066,980,86,aws-go-128
aws,go,128,eu-central-1,985,880,105,aws-go-128
aws,go,128,eu-central-1,1006,940,66,aws-go-128
aws,go,128,eu-central-1,1042,940,102,aws-go-128
aws,go,128,eu-central-1,1025,941,84,aws-go-128
aws,go,128,eu-central-1,1006,924,82,aws-go-128
aws,go,128,eu-central-1,1043,968,75,aws-go-128
aws,go,128,eu-central-1,1063,975,88,aws-go-128
aws,go,128,eu-central-1,1023,954,69,aws-go-128
aws,go,128,eu-central-1,1035,961,74,aws-go-128
aws,go,128,eu-central-1,1052,964,88,aws-go-128
aws,go,128,eu-central-1,1032,957,75,aws-go-128
aws,go,128,eu-central-1,1111,999,112,aws-go-128
aws,go,128,eu-central-1,1246,943,303,aws-go-128
aws,go,128,eu-central-1,1006,898,108,aws-go-128
aws,go,128,eu-central-1,1008,936,72,aws-go-128
aws,go,128,eu-central-1,1010,940,70,aws-go-128
aws,go,128,eu-central-1,990,915,75,aws-go-128
aws,go,128,eu-central-1,1026,940,86,aws-go-128
aws,go,128,eu-central-1,1044,971,73,aws-go-128
aws,go,128,eu-central-1,946,871,75,aws-go-128
aws,go,128,eu-central-1,1081,996,85,aws-go-128
aws,go,128,eu-central-1,980,881,99,aws-go-128
aws,go,128,eu-central-1,1063,980,83,aws-go-128
aws,go,128,eu-central-1,1042,964,78,aws-go-128
aws,go,128,eu-central-1,1081,1004,77,aws-go-128
aws,go,128,eu-central-1,1003,915,88,aws-go-128
aws,go,128,eu-central-1,1057,941,116,aws-go-128
aws,go,128,eu-central-1,1069,969,100,aws-go-128
aws,go,128,eu-central-1,1038,960,78,aws-go-128
aws,go,128,eu-central-1,1257,888,369,aws-go-128
aws,go,128,eu-central-1,990,900,90,aws-go-128
aws,go,128,eu-central-1,934,848,86,aws-go-128
aws,go,128,eu-central-1,1405,972,433,aws-go-128
aws,go,128,eu-central-1,1143,976,167,aws-go-128
aws,go,128,eu-central-1,1009,932,77,aws-go-128
aws,go,128,eu-central-1,1058,979,79,aws-go-128
aws,go,128,eu-central-1,974,881,93,aws-go-128
aws,go,128,eu-central-1,1001,908,93,aws-go-128
aws,go,128,eu-central-1,1055,957,98,aws-go-128
aws,go,128,eu-central-1,1016,940,76,aws-go-128
aws,go,128,eu-central-1,992,912,80,aws-go-128
aws,go,128,eu-central-1,1013,931,82,aws-go-128
aws,go,128,eu-central-1,974,904,70,aws-go-128
aws,go,128,eu-central-1,1017,924,93,aws-go-128
aws,go,128,eu-central-1,1002,932,70,aws-go-128
aws,go,128,eu-central-1,1020,944,76,aws-go-128
aws,go,128,eu-central-1,1020,945,75,aws-go-128
aws,go,128,eu-central-1,997,928,69,aws-go-128
aws,go,128,eu-central-1,1035,904,131,aws-go-128
aws,go,128,eu-central-1,979,891,88,aws-go-128
aws,go,128,eu-central-1,973,876,97,aws-go-128
aws,go,128,eu-central-1,992,915,77,aws-go-128
aws,go,256,eu-central-1,568,460,108,aws-go-256
aws,go,256,eu-central-1,517,443,74,aws-go-256
aws,go,256,eu-central-1,498,425,73,aws-go-256
aws,go,256,eu-central-1,550,473,77,aws-go-256
aws,go,256,eu-central-1,545,466,79,aws-go-256
aws,go,256,eu-central-1,561,485,76,aws-go-256
aws,go,256,eu-central-1,524,452,72,aws-go-256
aws,go,256,eu-central-1,521,430,91,aws-go-256
aws,go,256,eu-central-1,539,472,67,aws-go-256
aws,go,256,eu-central-1,538,461,77,aws-go-256
aws,go,256,eu-central-1,518,461,57,aws-go-256
aws,go,256,eu-central-1,537,460,77,aws-go-256
aws,go,256,eu-central-1,515,448,67,aws-go-256
aws,go,256,eu-central-1,576,477,99,aws-go-256
aws,go,256,eu-central-1,532,464,68,aws-go-256
aws,go,256,eu-central-1,533,465,68,aws-go-256
aws,go,256,eu-central-1,866,472,394,aws-go-256
aws,go,256,eu-central-1,869,463,406,aws-go-256
aws,go,256,eu-central-1,522,444,78,aws-go-256
aws,go,256,eu-central-1,558,464,94,aws-go-256
aws,go,256,eu-central-1,512,436,76,aws-go-256
aws,go,256,eu-central-1,529,460,69,aws-go-256
aws,go,256,eu-central-1,527,440,87,aws-go-256
aws,go,256,eu-central-1,539,464,75,aws-go-256
aws,go,256,eu-central-1,542,469,73,aws-go-256
aws,go,256,eu-central-1,561,458,103,aws-go-256
aws,go,256,eu-central-1,559,482,77,aws-go-256
aws,go,256,eu-central-1,500,424,76,aws-go-256
aws,go,256,eu-central-1,538,464,74,aws-go-256
aws,go,256,eu-central-1,515,412,103,aws-go-256
aws,go,256,eu-central-1,532,437,95,aws-go-256
aws,go,256,eu-central-1,531,428,103,aws-go-256
aws,go,256,eu-central-1,512,441,71,aws-go-256
aws,go,256,eu-central-1,531,460,71,aws-go-256
aws,go,256,eu-central-1,528,461,67,aws-go-256
aws,go,256,eu-central-1,523,449,74,aws-go-256
aws,go,256,eu-central-1,499,429,70,aws-go-256
aws,go,256,eu-central-1,566,479,87,aws-go-256
aws,go,256,eu-central-1,544,465,79,aws-go-256
aws,go,256,eu-central-1,538,438,100,aws-go-256
aws,go,256,eu-central-1,486,424,62,aws-go-256
aws,go,256,eu-central-1,507,437,70,aws-go-256
aws,go,256,eu-central-1,509,448,61,aws-go-256
aws,go,256,eu-central-1,526,456,70,aws-go-256
aws,go,256,eu-central-1,527,442,85,aws-go-256
aws,go,256,eu-central-1,519,445,74,aws-go-256
