cloud,runtime,memory_mb,region,total_ms,measured_ms,latency_ms,name
aws,node,128,eu-central-1,18296,18083,213,aws-node-128
aws,node,128,eu-central-1,17545,17103,442,aws-node-128
aws,node,128,eu-central-1,17453,17022,431,aws-node-128
aws,node,128,eu-central-1,17364,16903,461,aws-node-128
aws,node,128,eu-central-1,18576,18377,199,aws-node-128
aws,node,128,eu-central-1,17018,16848,170,aws-node-128
aws,node,128,eu-central-1,16882,16725,157,aws-node-128
aws,node,128,eu-central-1,16752,16581,171,aws-node-128
aws,node,128,eu-central-1,18765,18152,613,aws-node-128
aws,node,128,eu-central-1,17063,16851,212,aws-node-128
aws,node,128,eu-central-1,17197,17053,144,aws-node-128
aws,node,128,eu-central-1,16918,16751,167,aws-node-128
aws,node,128,eu-central-1,18287,18138,149,aws-node-128
aws,node,128,eu-central-1,16797,16646,151,aws-node-128
aws,node,128,eu-central-1,16975,16825,150,aws-node-128
aws,node,128,eu-central-1,16657,16492,165,aws-node-128
aws,node,128,eu-central-1,18217,18088,129,aws-node-128
aws,node,128,eu-central-1,16997,16858,139,aws-node-128
aws,node,128,eu-central-1,17081,16914,167,aws-node-128
aws,node,128,eu-central-1,16839,16704,135,aws-node-128
aws,node,128,eu-central-1,18284,18107,177,aws-node-128
aws,node,128,eu-central-1,16774,16667,107,aws-node-128
aws,node,128,eu-central-1,16941,16788,153,aws-node-128
aws,node,128,eu-central-1,16659,16491,168,aws-node-128
aws,node,128,eu-central-1,18241,18080,161,aws-node-128
aws,node,128,eu-central-1,17125,16960,165,aws-node-128
aws,node,128,eu-central-1,17007,16801,206,aws-node-128
aws,node,128,eu-central-1,16636,16502,134,aws-node-128
aws,node,128,eu-central-1,18452,18299,153,aws-node-128
aws,node,128,eu-central-1,17000,16881,119,aws-node-128
aws,node,128,eu-central-1,16957,16815,142,aws-node-128
aws,node,128,eu-central-1,16851,16681,170,aws-node-128
aws,node,128,eu-central-1,18059,17909,150,aws-node-128
aws,node,128,eu-central-1,17071,16926,145,aws-node-128
aws,node,128,eu-central-1,16933,16787,146,aws-node-128
aws,node,128,eu-central-1,17065,16686,379,aws-node-128
aws,node,128,eu-central-1,18278,18101,177,aws-node-128
aws,node,128,eu-central-1,17085,16930,155,aws-node-128
aws,node,128,eu-central-1,16871,16668,203,aws-node-128
aws,node,128,eu-central-1,16773,16649,124,aws-node-128
aws,node,128,eu-central-1,18239,18086,153,aws-node-128
aws,node,128,eu-central-1,16764,16613,151,aws-node-128
aws,node,128,eu-central-1,17012,16869,143,aws-node-128
aws,node,128,eu-central-1,16812,16681,131,aws-node-128
aws,node,128,eu-central-1,18286,18105,181,aws-node-128
aws,node,128,eu-central-1,16753,16573,180,aws-node-128
aws,node,128,eu-central-1,17058,16905,153,aws-node-128
aws,node,128,eu-central-1,16703,16560,143,aws-node-128
aws,node,128,eu-central-1,18259,18062,197,aws-node-128
aws,node,128,eu-central-1,16786,16613,173,aws-node-128
aws,node,128,eu-central-1,17130,16969,161,aws-node-128
aws,node,128,eu-central-1,16625,16489,136,aws-node-128
aws,node,128,eu-central-1,18482,18314,168,aws-node-128
aws,node,128,eu-central-1,17173,16926,247,aws-node-128
aws,node,128,eu-central-1,17076,16927,149,aws-node-128
aws,node,128,eu-central-1,16618,16454,164,aws-node-128
aws,node,128,eu-central-1,18131,17988,143,aws-node-128
aws,node,128,eu-central-1,17133,16964,169,aws-node-128
aws,node,128,eu-central-1,17025,16865,160,aws-node-128
aws,node,128,eu-central-1,16770,16630,140,aws-node-128
aws,node,128,eu-central-1,18370,18173,197,aws-node-128
aws,node,128,eu-central-1,16969,16800,169,aws-node-128
aws,node,128,eu-central-1,16878,16696,182,aws-node-128
aws,node,128,eu-central-1,16766,16643,123,aws-node-128
aws,node,128,eu-central-1,18202,18060,142,aws-node-128
aws,node,128,eu-central-1,17051,16855,196,aws-node-128
aws,node,128,eu-central-1,16918,16732,186,aws-node-128
aws,node,128,eu-central-1,16745,16573,172,aws-node-128
aws,node,128,eu-central-1,18359,18212,147,aws-node-128
aws,node,128,eu-central-1,17184,17037,147,aws-node-128
aws,node,128,eu-central-1,16976,16810,166,aws-node-128
aws,node,128,eu-central-1,16717,16577,140,aws-node-128
aws,node,128,eu-central-1,17418,17297,121,aws-node-128
aws,node,128,eu-central-1,16966,16766,200,aws-node-128
aws,node,128,eu-central-1,16873,16710,163,aws-node-128
aws,node,128,eu-central-1,16636,16480,156,aws-node-128
aws,node,128,eu-central-1,17411,17271,140,aws-node-128
aws,node,128,eu-central-1,16833,16689,144,aws-node-128
aws,node,128,eu-central-1,17044,16913,131,aws-node-128
aws,node,128,eu-central-1,16894,16755,139,aws-node-128
aws,node,128,eu-central-1,17581,17100,481,aws-node-128
aws,node,128,eu-central-1,16864,16629,235,aws-node-128
aws,node,128,eu-central-1,16979,16818,161,aws-node-128
aws,node,128,eu-central-1,16816,16699,117,aws-node-128
aws,node,128,eu-central-1,17473,17331,142,aws-node-128
aws,node,128,eu-central-1,16798,16677,121,aws-node-128
aws,node,128,eu-central-1,16908,16757,151,aws-node-128
aws,node,128,eu-central-1,16831,16674,157,aws-node-128
aws,node,128,eu-central-1,17369,17230,139,aws-node-128
aws,node,128,eu-central-1,16851,16668,183,aws-node-128
aws,node,128,eu-central-1,16784,16646,138,aws-node-128
aws,node,128,eu-central-1,16917,16765,152,aws-node-128
aws,node,128,eu-central-1,17398,17258,140,aws-node-128
aws,node,128,eu-central-1,17041,16887,154,aws-node-128
aws,node,128,eu-central-1,16976,16750,226,aws-node-128
aws,node,128,eu-central-1,16676,16549,127,aws-node-128
aws,node,128,eu-central-1,17324,17161,163,aws-node-128
aws,node,128,eu-central-1,16964,16772,192,aws-node-128
aws,node,128,eu-central-1,16883,16722,161,aws-node-128
aws,node,128,eu-central-1,16725,16567,158,aws-node-128
aws,node,256,eu-central-1,9443,9264,179,aws-node-256
aws,node,256,eu-central-1,8779,8418,361,aws-node-256
aws,node,256,eu-central-1,9264,9129,135,aws-node-256
aws,node,256,eu-central-1,8488,8361,127,aws-node-256
aws,node,256,eu-central-1,9335,9195,140,aws-node-256
aws,node,256,eu-central-1,8382,8272,110,aws-node-256
aws,node,256,eu-central-1,9171,9039,132,aws-node-256
aws,node,256,eu-central-1,8517,8367,150,aws-node-256
aws,node,256,eu-central-1,9390,9245,145,aws-node-256
aws,node,256,eu-central-1,8319,8201,118,aws-node-256
aws,node,256,eu-central-1,9385,9273,112,aws-node-256
aws,node,256,eu-central-1,8456,8326,130,aws-node-256
aws,node,256,eu-central-1,9244,9095,149,aws-node-256
aws,node,256,eu-central-1,8373,8222,151,aws-node-256
aws,node,256,eu-central-1,9365,9234,131,aws-node-256
aws,node,256,eu-central-1,8390,8260,130,aws-node-256
aws,node,256,eu-central-1,9657,9210,447,aws-node-256
aws,node,256,eu-central-1,8787,8329,458,aws-node-256
aws,node,256,eu-central-1,9309,9159,150,aws-node-256
aws,node,256,eu-central-1,8497,8370,127,aws-node-256
aws,node,256,eu-central-1,9382,9243,139,aws-node-256
aws,node,256,eu-central-1,8547,8258,289,aws-node-256
aws,node,256,eu-central-1,9238,9094,144,aws-node-256
aws,node,256,eu-central-1,8478,8337,141,aws-node-256
aws,node,256,eu-central-1,9387,9257,130,aws-node-256
aws,node,256,eu-central-1,8517,8361,156,aws-node-256
aws,node,256,eu-central-1,9294,9142,152,aws-node-256
aws,node,256,eu-central-1,8500,8337,163,aws-node-256
aws,node,256,eu-central-1,9347,9240,107,aws-node-256
aws,node,256,eu-central-1,8439,8340,99,aws-node-256
aws,node,256,eu-central-1,9521,9127,394,aws-node-256
aws,node,256,eu-central-1,8350,8209,141,aws-node-256
aws,node,256,eu-central-1,9382,9260,122,aws-node-256
aws,node,256,eu-central-1,8374,8255,119,aws-node-256
aws,node,256,eu-central-1,9178,9080,98,aws-node-256
aws,node,256,eu-central-1,8794,8324,470,aws-node-256
aws,node,256,eu-central-1,9409,9289,120,aws-node-256
aws,node,256,eu-central-1,8340,8199,141,aws-node-256
aws,node,256,eu-central-1,9232,9056,176,aws-node-256
