cloud,runtime,memory_mb,region,total_ms,measured_ms,latency_ms,name
aws,python,128,eu-central-1,8287,8040,247,aws-python-128
aws,python,128,eu-central-1,8248,7887,361,aws-python-128
aws,python,128,eu-central-1,8051,7904,147,aws-python-128
aws,python,128,eu-central-1,8004,7827,177,aws-python-128
aws,python,128,eu-central-1,8064,7892,172,aws-python-128
aws,python,128,eu-central-1,8082,7912,170,aws-python-128
aws,python,128,eu-central-1,8103,7921,182,aws-python-128
aws,python,128,eu-central-1,8039,7868,171,aws-python-128
aws,python,128,eu-central-1,8093,7939,154,aws-python-128
aws,python,128,eu-central-1,8125,7896,229,aws-python-128
aws,python,128,eu-central-1,8054,7912,142,aws-python-128
aws,python,128,eu-central-1,8068,7896,172,aws-python-128
aws,python,128,eu-central-1,8072,7937,135,aws-python-128
aws,python,128,eu-central-1,8041,7899,142,aws-python-128
aws,python,128,eu-central-1,8068,7919,149,aws-python-128
aws,python,128,eu-central-1,8083,7919,164,aws-python-128
aws,python,128,eu-central-1,8082,7925,157,aws-python-128
aws,python,128,eu-central-1,8075,7883,192,aws-python-128
aws,python,128,eu-central-1,8058,7922,136,aws-python-128
aws,python,128,eu-central-1,7989,7823,166,aws-python-128
aws,python,128,eu-central-1,8032,7907,125,aws-python-128
aws,python,128,eu-central-1,7995,7857,138,aws-python-128
aws,python,128,eu-central-1,8078,7938,140,aws-python-128
aws,python,128,eu-central-1,8025,7852,173,aws-python-128
aws,python,128,eu-central-1,8073,7931,142,aws-python-128
aws,python,128,eu-central-1,8049,7911,138,aws-python-128
aws,python,128,eu-central-1,8102,7943,159,aws-python-128
aws,python,128,eu-central-1,8045,7868,177,aws-python-128
aws,python,128,eu-central-1,8069,7903,166,aws-python-128
aws,python,128,eu-central-1,8023,7869,154,aws-python-128
aws,python,128,eu-central-1,8075,7945,130,aws-python-128
aws,python,128,eu-central-1,8051,7889,162,aws-python-128
aws,python,128,eu-central-1,8142,7922,220,aws-python-128
aws,python,128,eu-central-1,8034,7918,116,aws-python-128
aws,python,128,eu-central-1,8094,7932,162,aws-python-128
aws,python,128,eu-central-1,8246,7844,402,aws-python-128
aws,python,128,eu-central-1,8032,7907,125,aws-python-128
aws,python,128,eu-central-1,8145,7908,237,aws-python-128
aws,python,128,eu-central-1,8128,7965,163,aws-python-128
aws,python,128,eu-central-1,8077,7898,179,aws-python-128
aws,python,128,eu-central-1,8069,7945,124,aws-python-128
aws,python,128,eu-central-1,8001,7864,137,aws-python-128
aws,python,128,eu-central-1,8064,7926,138,aws-python-128
aws,python,128,eu-central-1,8043,7909,134,aws-python-128
aws,python,128,eu-central-1,8079,7930,149,aws-python-128
aws,python,128,eu-central-1,8149,7859,290,aws-python-128
aws,python,128,eu-central-1,8159,8007,152,aws-python-128
aws,python,128,eu-central-1,8081,7892,189,aws-python-128
aws,python,128,eu-central-1,8095,7939,156,aws-python-128
aws,python,128,eu-central-1,8029,7861,168,aws-python-128
aws,python,128,eu-central-1,8220,7963,257,aws-python-128
aws,python,128,eu-central-1,8052,7862,190,aws-python-128
aws,python,128,eu-central-1,8095,7889,206,aws-python-128
aws,python,128,eu-central-1,8010,7849,161,aws-python-128
aws,python,128,eu-central-1,8091,7922,169,aws-python-128
