cloud,runtime,memory_mb,region,total_ms,measured_ms,latency_ms,name
azure,dotnet,1536,westeurope,417,86,331,.NET
azure,dotnet,1536,westeurope,243,87,156,.NET
azure,dotnet,1536,westeurope,197,84,113,.NET
azure,dotnet,1536,westeurope,226,83,143,.NET
azure,dotnet,1536,westeurope,228,96,132,.NET
azure,dotnet,1536,westeurope,240,89,151,.NET
azure,dotnet,1536,westeurope,260,127,133,.NET
azure,dotnet,1536,westeurope,336,100,236,.NET
azure,dotnet,1536,westeurope,233,87,146,.NET
azure,dotnet,1536,westeurope,246,107,139,.NET
azure,dotnet,1536,westeurope,227,88,139,.NET
azure,dotnet,1536,westeurope,224,97,127,.NET
azure,dotnet,1536,westeurope,236,97,139,.NET
azure,dotnet,1536,westeurope,236,89,147,.NET
azure,dotnet,1536,westeurope,319,87,232,.NET
azure,dotnet,1536,westeurope,208,85,123,.NET
azure,dotnet,1536,westeurope,248,109,139,.NET
azure,dotnet,1536,westeurope,218,88,130,.NET
azure,dotnet,1536,westeurope,234,85,149,.NET
azure,dotnet,1536,westeurope,237,97,140,.NET
azure,dotnet,1536,westeurope,210,88,122,.NET
azure,dotnet,1536,westeurope,338,92,246,.NET
azure,dotnet,1536,westeurope,207,83,124,.NET
azure,dotnet,1536,westeurope,255,107,148,.NET
azure,dotnet,1536,westeurope,225,88,137,.NET
azure,dotnet,1536,westeurope,206,86,120,.NET
azure,dotnet,1536,westeurope,233,85,148,.NET
azure,dotnet,1536,westeurope,227,94,133,.NET
azure,dotnet,1536,westeurope,289,87,202,.NET
azure,dotnet,1536,westeurope,204,89,115,.NET
azure,dotnet,1536,westeurope,321,100,221,.NET
azure,dotnet,1536,westeurope,266,104,162,.NET
azure,dotnet,1536,westeurope,251,95,156,.NET
azure,dotnet,1536,westeurope,247,95,152,.NET
azure,dotnet,1536,westeurope,206,85,121,.NET
azure,dotnet,1536,westeurope,603,85,518,.NET
azure,dotnet,1536,westeurope,214,96,118,.NET
azure,dotnet,1536,westeurope,243,89,154,.NET
azure,dotnet,1536,westeurope,231,85,146,.NET
azure,dotnet,1536,westeurope,244,99,145,.NET
azure,dotnet,1536,westeurope,224,87,137,.NET
azure,dotnet,1536,westeurope,191,89,102,.NET
azure,dotnet,1536,westeurope,320,83,237,.NET
azure,dotnet,1536,westeurope,216,97,119,.NET
azure,dotnet,1536,westeurope,224,89,135,.NET
azure,dotnet,1536,westeurope,232,91,141,.NET
azure,dotnet,1536,westeurope,210,88,122,.NET
azure,dotnet,1536,westeurope,217,100,117,.NET
azure,dotnet,1536,westeurope,280,100,180,.NET
azure,dotnet,1536,westeurope,336,94,242,.NET
azure,dotnet,1536,westeurope,232,95,137,.NET
azure,dotnet,1536,westeurope,244,87,157,.NET
azure,dotnet,1536,westeurope,243,90,153,.NET
azure,dotnet,1536,westeurope,245,84,161,.NET
azure,dotnet,1536,westeurope,219,90,129,.NET
azure,dotnet,1536,westeurope,233,91,142,.NET
azure,dotnet,1536,westeurope,334,97,237,.NET
azure,dotnet,1536,westeurope,219,93,126,.NET
azure,dotnet,1536,westeurope,392,87,305,.NET
azure,dotnet,1536,westeurope,205,84,121,.NET
azure,dotnet,1536,westeurope,260,88,172,.NET
azure,dotnet,1536,westeurope,228,92,136,.NET
azure,dotnet,1536,westeurope,370,94,276,.NET
azure,dotnet,1536,westeurope,247,91,156,.NET
azure,dotnet,1536,westeurope,236,95,141,.NET
azure,dotnet,1536,westeurope,264,106,158,.NET
