cloud,runtime,memory_mb,region,total_ms,measured_ms,latency_ms,name
google,node,128,europe-west1,8533,4519,4014,google-node-128
google,node,128,europe-west1,7933,4414,3519,google-node-128
google,node,128,europe-west1,5021,2822,2199,google-node-128
google,node,128,europe-west1,21870,21596,274,google-node-128
google,node,128,europe-west1,5495,2943,2552,google-node-128
google,node,128,europe-west1,17274,17056,218,google-node-128
google,node,128,europe-west1,6097,3494,2603,google-node-128
google,node,128,europe-west1,19571,19069,502,google-node-128
google,node,128,europe-west1,18765,18514,251,google-node-128
google,node,128,europe-west1,18664,18500,164,google-node-128
google,node,128,europe-west1,17571,17448,123,google-node-128
google,node,128,europe-west1,17889,17742,147,google-node-128
google,node,128,europe-west1,17070,16948,122,google-node-128
google,node,128,europe-west1,18964,18298,666,google-node-128
google,node,128,europe-west1,17356,17227,129,google-node-128
google,node,128,europe-west1,19365,17208,2157,google-node-128
google,node,128,europe-west1,22871,22740,131,google-node-128
google,node,128,europe-west1,19160,19018,142,google-node-128
google,node,128,europe-west1,24565,24384,181,google-node-128
google,node,128,europe-west1,17851,17605,246,google-node-128
google,node,128,europe-west1,24467,24208,259,google-node-128
google,node,128,europe-west1,24562,24388,174,google-node-128
google,node,128,europe-west1,18154,18024,130,google-node-128
google,node,128,europe-west1,23957,23601,356,google-node-128
google,node,128,europe-west1,18548,18392,156,google-node-128
google,node,128,europe-west1,24063,23902,161,google-node-128
google,node,128,europe-west1,26145,25818,327,google-node-128
google,node,128,europe-west1,23570,23347,223,google-node-128
google,node,128,europe-west1,20839,20689,150,google-node-128
google,node,128,europe-west1,20946,20798,148,google-node-128
google,node,128,europe-west1,22379,22101,278,google-node-128
google,node,128,europe-west1,19334,19104,230,google-node-128
google,node,128,europe-west1,23666,23516,150,google-node-128
google,node,128,europe-west1,18331,18194,137,google-node-128
google,node,128,europe-west1,24868,24655,213,google-node-128
google,node,128,europe-west1,6000,3285,2715,google-node-128
google,node,128,europe-west1,5343,3065,2278,google-node-128
google,node,128,europe-west1,17229,17093,136,google-node-128
google,node,128,europe-west1,22842,22395,447,google-node-128
google,node,128,europe-west1,22332,22145,187,google-node-128
google,node,128,europe-west1,16019,15697,322,google-node-128
google,node,128,europe-west1,21834,21667,167,google-node-128
