cloud,runtime,memory_mb,region,total_ms,measured_ms,latency_ms,name
google,python,128,europe-west1,6650,6306,344,google-python-128
google,python,128,europe-west1,5848,1229,4619,google-python-128
google,python,128,europe-west1,6758,1872,4886,google-python-128
google,python,128,europe-west1,6585,1867,4718,google-python-128
google,python,128,europe-west1,8542,8399,143,google-python-128
google,python,128,europe-west1,8745,8502,243,google-python-128
google,python,128,europe-west1,8528,8306,222,google-python-128
google,python,128,europe-west1,8331,8192,139,google-python-128
google,python,128,europe-west1,7031,6799,232,google-python-128
google,python,128,europe-west1,8630,8486,144,google-python-128
google,python,128,europe-west1,9639,9511,128,google-python-128
google,python,128,europe-west1,9933,9694,239,google-python-128
google,python,128,europe-west1,10140,9995,145,google-python-128
google,python,128,europe-west1,9227,9109,118,google-python-128
google,python,128,europe-west1,8633,8408,225,google-python-128
google,python,128,europe-west1,9320,9093,227,google-python-128
google,python,128,europe-west1,8613,8502,111,google-python-128
google,python,128,europe-west1,8409,8284,125,google-python-128
google,python,128,europe-west1,7711,7498,213,google-python-128
google,python,128,europe-west1,6724,6504,220,google-python-128
google,python,128,europe-west1,7310,7192,118,google-python-128
google,python,128,europe-west1,7631,7498,133,google-python-128
google,python,128,europe-west1,7933,7787,146,google-python-128
google,python,128,europe-west1,7711,7500,211,google-python-128
google,python,128,europe-west1,7137,6997,140,google-python-128
google,python,128,europe-west1,7713,7589,124,google-python-128
google,python,128,europe-west1,7010,6706,304,google-python-128
google,python,128,europe-west1,7317,7074,243,google-python-128
google,python,128,europe-west1,6431,6311,120,google-python-128
google,python,128,europe-west1,8711,8502,209,google-python-128
google,python,128,europe-west1,8286,8097,189,google-python-128
google,python,128,europe-west1,6218,6092,126,google-python-128
google,python,128,europe-west1,7219,6907,312,google-python-128
google,python,128,europe-west1,8621,8499,122,google-python-128
google,python,128,europe-west1,8907,8700,207,google-python-128
google,python,128,europe-west1,8107,7759,348,google-python-128
google,python,128,europe-west1,9190,8987,203,google-python-128
google,python,128,europe-west1,9248,8601,647,google-python-128
google,python,128,europe-west1,6496,6265,231,google-python-128
google,python,128,europe-west1,8008,7713,295,google-python-128
google,python,128,europe-west1,7910,7695,215,google-python-128
google,python,128,europe-west1,7680,7457,223,google-python-128
google,python,128,europe-west1,8883,8691,192,google-python-128
google,python,128,europe-west1,10475,10354,121,google-python-128
google,python,128,europe-west1,9081,8951,130,google-python-128
google,python,128,europe-west1,6495,6304,191,google-python-128
google,python,128,europe-west1,6588,6306,282,google-python-128
google,python,128,europe-west1,7280,7159,121,google-python-128
google,python,128,europe-west1,6686,6490,196,google-python-128
google,python,128,europe-west1,7569,7397,172,google-python-128
google,python,128,europe-west1,6680,6407,273,google-python-128
google,python,128,europe-west1,9062,8803,259,google-python-128
google,python,128,europe-west1,11963,11697,266,google-python-128
google,python,128,europe-west1,11190,10952,238,google-python-128
google,python,128,europe-west1,10577,8588,1989,google-python-128
google,python,128,europe-west1,6585,6307,278,google-python-128
google,python,128,europe-west1,7463,7338,125,google-python-128
google,python,128,europe-west1,7287,7103,184,google-python-128
google,python,128,europe-west1,7371,7193,178,google-python-128
google,python,128,europe-west1,7152,7039,113,google-python-128
google,python,128,europe-west1,7367,7240,127,google-python-128
google,python,128,europe-west1,8347,8238,109,google-python-128
google,python,128,europe-west1,8141,7909,232,google-python-128
google,python,128,europe-west1,7349,7204,145,google-python-128
google,python,128,europe-west1,7223,7094,129,google-python-128
google,python,128,europe-west1,6555,6411,144,google-python-128
google,python,128,europe-west1,8042,7914,128,google-python-128
google,python,128,europe-west1,8928,8798,130,google-python-128
google,python,128,europe-west1,7826,7562,264,google-python-128
google,python,128,europe-west1,6545,6427,118,google-python-128
google,python,128,europe-west1,8230,7977,253,google-python-128
google,python,128,europe-west1,9217,9004,213,google-python-128
google,python,128,europe-west1,8222,8104,118,google-python-128
google,python,128,europe-west1,9024,8898,126,google-python-128
google,python,128,europe-west1,9720,9501,219,google-python-128
google,python,128,europe-west1,9013,8878,135,google-python-128
google,python,128,europe-west1,8213,7909,304,google-python-128
google,python,128,europe-west1,8125,7990,135,google-python-128
google,python,128,europe-west1,9125,8581,544,google-python-128
google,python,128,europe-west1,9220,8994,226,google-python-128
google,python,128,europe-west1,8599,8398,201,google-python-128
google,python,128,europe-west1,6435,6221,214,google-python-128
google,python,128,europe-west1,7414,7294,120,google-python-128
google,python,128,europe-west1,6719,6597,122,google-python-128
google,python,128,europe-west1,8699,8410,289,google-python-128
google,python,128,europe-west1,8606,8479,127,google-python-128
google,python,128,europe-west1,7209,7009,200,google-python-128
google,python,128,europe-west1,7614,7492,122,google-python-128
google,python,128,europe-west1,7388,7188,200,google-python-128
google,python,128,europe-west1,7414,7097,317,google-python-128
google,python,128,europe-west1,7195,6998,197,google-python-128
google,python,128,europe-west1,7118,6902,216,google-python-128
google,python,128,europe-west1,7429,7217,212,google-python-128
google,python,128,europe-west1,8015,7810,205,google-python-128
google,python,128,europe-west1,7022,6897,125,google-python-128
google,python,128,europe-west1,7795,7602,193,google-python-128
google,python,128,europe-west1,9300,9179,121,google-python-128
google,python,128,europe-west1,9089,8890,199,google-python-128
google,python,128,europe-west1,7354,7214,140,google-python-128
google,python,128,europe-west1,6502,6212,290,google-python-128
google,python,256,europe-west1,3295,3178,117,google-python-256
google,python,256,europe-west1,3177,3008,169,google-python-256
google,python,256,europe-west1,4176,2893,1283,google-python-256
google,python,256,europe-west1,3160,3053,107,google-python-256
google,python,256,europe-west1,3265,3147,118,google-python-256
google,python,256,europe-west1,3162,3048,114,google-python-256
google,python,256,europe-west1,3158,3034,124,google-python-256
google,python,256,europe-west1,3155,2996,159,google-python-256
google,python,256,europe-west1,3063,2949,114,google-python-256
google,python,256,europe-west1,3265,3160,105,google-python-256
google,python,256,europe-west1,3252,3107,145,google-python-256
google,python,256,europe-west1,3696,3129,567,google-python-256
google,python,256,europe-west1,3262,3151,111,google-python-256
google,python,256,europe-west1,3449,3344,105,google-python-256
google,python,256,europe-west1,3370,3210,160,google-python-256
google,python,256,europe-west1,3449,3224,225,google-python-256
google,python,256,europe-west1,3635,3190,445,google-python-256
