cloud,runtime,memory_mb,region,total_ms,measured_ms,latency_ms,name
ibm,node,128,eu-de,5069,4763,306,ibm-node-128
ibm,node,128,eu-de,4537,4308,229,ibm-node-128
ibm,node,128,eu-de,7269,7019,250,ibm-node-128
ibm,node,128,eu-de,9001,5629,3372,ibm-node-128
ibm,node,128,eu-de,6908,6677,231,ibm-node-128
ibm,node,128,eu-de,7307,7098,209,ibm-node-128
ibm,node,128,eu-de,5868,5704,164,ibm-node-128
ibm,node,128,eu-de,4930,4718,212,ibm-node-128
ibm,node,128,eu-de,4510,4284,226,ibm-node-128
ibm,node,128,eu-de,4332,4091,241,ibm-node-128
ibm,node,128,eu-de,4459,4262,197,ibm-node-128
ibm,node,128,eu-de,4915,4627,288,ibm-node-128
ibm,node,128,eu-de,5978,5765,213,ibm-node-128
ibm,node,128,eu-de,2125,1273,852,ibm-node-128
ibm,node,128,eu-de,1268,1110,158,ibm-node-128
ibm,node,128,eu-de,1970,1185,785,ibm-node-128
ibm,node,128,eu-de,7751,6086,1665,ibm-node-128
ibm,node,128,eu-de,2006,1139,867,ibm-node-128
ibm,node,128,eu-de,9589,8016,1573,ibm-node-128
ibm,node,128,eu-de,3907,3723,184,ibm-node-128
ibm,node,128,eu-de,5568,5354,214,ibm-node-128
ibm,node,128,eu-de,9323,9135,188,ibm-node-128
ibm,node,128,eu-de,1339,1158,181,ibm-node-128
ibm,node,128,eu-de,7157,6715,442,ibm-node-128
ibm,node,128,eu-de,4156,3923,233,ibm-node-128
ibm,node,128,eu-de,1403,1133,270,ibm-node-128
ibm,node,128,eu-de,1311,1139,172,ibm-node-128
ibm,node,128,eu-de,1303,1126,177,ibm-node-128
ibm,node,128,eu-de,1228,1123,105,ibm-node-128
ibm,node,128,eu-de,1360,1152,208,ibm-node-128
ibm,node,128,eu-de,2777,1738,1039,ibm-node-128
ibm,node,128,eu-de,1793,1580,213,ibm-node-128
ibm,node,128,eu-de,1440,1161,279,ibm-node-128
ibm,node,128,eu-de,1918,1620,298,ibm-node-128
ibm,node,128,eu-de,1353,1135,218,ibm-node-128
ibm,node,128,eu-de,2252,1813,439,ibm-node-128
ibm,node,128,eu-de,1885,1684,201,ibm-node-128
ibm,node,128,eu-de,1355,1141,214,ibm-node-128
ibm,node,128,eu-de,2226,1988,238,ibm-node-128
ibm,node,128,eu-de,1396,1182,214,ibm-node-128
ibm,node,128,eu-de,1289,1142,147,ibm-node-128
ibm,node,128,eu-de,1368,1134,234,ibm-node-128
ibm,node,128,eu-de,1329,1127,202,ibm-node-128
ibm,node,128,eu-de,1301,1130,171,ibm-node-128
ibm,node,128,eu-de,1310,1157,153,ibm-node-128
ibm,node,128,eu-de,1354,1118,236,ibm-node-128
ibm,node,128,eu-de,1333,1126,207,ibm-node-128
ibm,node,128,eu-de,1352,1150,202,ibm-node-128
ibm,node,128,eu-de,1305,1115,190,ibm-node-128
ibm,node,128,eu-de,1293,1134,159,ibm-node-128
ibm,node,128,eu-de,1318,1115,203,ibm-node-128
ibm,node,128,eu-de,1301,1135,166,ibm-node-128
ibm,node,128,eu-de,1356,1143,213,ibm-node-128
