Running 1m test @ https://zz5urfwt50.execute-api.eu-central-1.amazonaws.com/test/go_matrix
  2 threads and 50 connections
  Thread calibration: mean lat.: 46.597ms, rate sampling interval: 200ms
  Thread calibration: mean lat.: 62.063ms, rate sampling interval: 308ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency    40.19ms   10.56ms 202.37ms   87.24%
    Req/Sec    24.86     43.93   125.00     76.56%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   41.02ms
 75.000%   46.21ms
 90.000%   49.34ms
 99.000%   61.47ms
 99.900%  173.18ms
 99.990%  202.49ms
 99.999%  202.49ms
100.000%  202.49ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

      26.911     0.000000            1         1.00
      30.079     0.100000          246         1.11
      31.343     0.200000          492         1.25
      32.735     0.300000          739         1.43
      35.071     0.400000          982         1.67
      41.023     0.500000         1228         2.00
      42.335     0.550000         1353         2.22
      43.327     0.600000         1474         2.50
      44.159     0.650000         1595         2.86
      45.279     0.700000         1719         3.33
      46.207     0.750000         1840         4.00
      46.847     0.775000         1904         4.44
      47.519     0.800000         1965         5.00
      48.063     0.825000         2025         5.71
      48.607     0.850000         2088         6.67
      48.991     0.875000         2153         8.00
      49.151     0.887500         2179         8.89
      49.343     0.900000         2208        10.00
      49.631     0.912500         2242        11.43
      50.047     0.925000         2272        13.33
      50.559     0.937500         2301        16.00
      51.071     0.943750         2317        17.78
      51.775     0.950000         2331        20.00
      52.575     0.956250         2346        22.86
      53.343     0.962500         2362        26.67
      54.815     0.968750         2377        32.00
      55.391     0.971875         2385        35.56
      56.575     0.975000         2392        40.00
      57.727     0.978125         2400        45.71
      58.719     0.981250         2408        53.33
      59.263     0.984375         2415        64.00
      59.903     0.985938         2419        71.11
      60.159     0.987500         2423        80.00
      61.407     0.989062         2427        91.43
      62.143     0.990625         2431       106.67
      63.679     0.992188         2435       128.00
      63.743     0.992969         2436       142.22
      65.151     0.993750         2438       160.00
      68.543     0.994531         2440       182.86
      78.143     0.995313         2442       213.33
      90.303     0.996094         2444       256.00
      92.543     0.996484         2445       284.44
      95.871     0.996875         2446       320.00
     109.759     0.997266         2447       365.71
     124.991     0.997656         2448       426.67
     162.303     0.998047         2449       512.00
     162.303     0.998242         2449       568.89
     164.863     0.998437         2450       640.00
     164.863     0.998633         2450       731.43
     173.183     0.998828         2451       853.33
     173.183     0.999023         2451      1024.00
     173.183     0.999121         2451      1137.78
     178.687     0.999219         2452      1280.00
     178.687     0.999316         2452      1462.86
     178.687     0.999414         2452      1706.67
     178.687     0.999512         2452      2048.00
     178.687     0.999561         2452      2275.56
     202.495     0.999609         2453      2560.00
     202.495     1.000000         2453          inf
#[Mean    =       40.190, StdDeviation   =       10.565]
#[Max     =      202.368, Total count    =         2453]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  2954 requests in 1.00m, 1.57MB read
Requests/sec:     49.20
Transfer/sec:     26.86KB
