Running 1m test @ https://4wr6wy8fnf.execute-api.eu-central-1.amazonaws.com/test/node_matrix
  2 threads and 400 connections
  Thread calibration: mean lat.: 133.997ms, rate sampling interval: 1230ms
  Thread calibration: mean lat.: 133.874ms, rate sampling interval: 1173ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency    53.33ms   13.24ms 259.07ms   72.82%
    Req/Sec   202.40     65.30   341.00     80.00%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   50.97ms
 75.000%   60.35ms
 90.000%   68.67ms
 99.000%   96.77ms
 99.900%  136.70ms
 99.990%  192.00ms
 99.999%  259.20ms
100.000%  259.20ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

      31.967     0.000000            1         1.00
      38.559     0.100000         1972         1.11
      42.175     0.200000         3920         1.25
      45.471     0.300000         5880         1.43
      48.191     0.400000         7847         1.67
      50.975     0.500000         9803         2.00
      52.959     0.550000        10792         2.22
      54.975     0.600000        11760         2.50
      56.991     0.650000        12751         2.86
      58.623     0.700000        13721         3.33
      60.351     0.750000        14715         4.00
      61.343     0.775000        15201         4.44
      62.335     0.800000        15695         5.00
      63.455     0.825000        16177         5.71
      64.831     0.850000        16664         6.67
      66.559     0.875000        17158         8.00
      67.519     0.887500        17395         8.89
      68.671     0.900000        17645        10.00
      70.015     0.912500        17889        11.43
      71.743     0.925000        18133        13.33
      73.791     0.937500        18375        16.00
      75.071     0.943750        18502        17.78
      76.607     0.950000        18625        20.00
      78.143     0.956250        18747        22.86
      80.127     0.962500        18865        26.67
      82.431     0.968750        18991        32.00
      83.775     0.971875        19052        35.56
      85.119     0.975000        19110        40.00
      87.231     0.978125        19172        45.71
      88.639     0.981250        19235        53.33
      89.983     0.984375        19295        64.00
      91.455     0.985938        19326        71.11
      93.375     0.987500        19355        80.00
      95.679     0.989062        19387        91.43
      97.791     0.990625        19417       106.67
     100.159     0.992188        19447       128.00
     100.735     0.992969        19463       142.22
     101.375     0.993750        19478       160.00
     102.463     0.994531        19493       182.86
     103.999     0.995313        19510       213.33
     105.087     0.996094        19524       256.00
     106.111     0.996484        19532       284.44
     107.391     0.996875        19539       320.00
     109.247     0.997266        19547       365.71
     111.167     0.997656        19555       426.67
     116.543     0.998047        19562       512.00
     119.423     0.998242        19566       568.89
     121.727     0.998437        19570       640.00
     131.711     0.998633        19574       731.43
     135.295     0.998828        19578       853.33
     136.831     0.999023        19581      1024.00
     141.439     0.999121        19583      1137.78
     141.951     0.999219        19585      1280.00
     143.999     0.999316        19587      1462.86
     148.223     0.999414        19589      1706.67
     150.783     0.999512        19591      2048.00
     155.647     0.999561        19593      2275.56
     155.647     0.999609        19593      2560.00
     167.295     0.999658        19594      2925.71
     182.015     0.999707        19595      3413.33
     185.983     0.999756        19596      4096.00
     185.983     0.999780        19596      4551.11
     187.391     0.999805        19597      5120.00
     187.391     0.999829        19597      5851.43
     191.999     0.999854        19598      6826.67
     191.999     0.999878        19598      8192.00
     191.999     0.999890        19598      9102.22
     258.943     0.999902        19599     10240.00
     258.943     0.999915        19599     11702.86
     258.943     0.999927        19599     13653.33
     258.943     0.999939        19599     16384.00
     258.943     0.999945        19599     18204.44
     259.199     0.999951        19600     20480.00
     259.199     1.000000        19600          inf
#[Mean    =       53.334, StdDeviation   =       13.236]
#[Max     =      259.072, Total count    =        19600]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  23606 requests in 1.00m, 12.27MB read
Requests/sec:    393.12
Transfer/sec:    209.23KB
