Running 1m test @ https://4wr6wy8fnf.execute-api.eu-central-1.amazonaws.com/test/node_matrix
  2 threads and 50 connections
  Thread calibration: mean lat.: 67.525ms, rate sampling interval: 277ms
  Thread calibration: mean lat.: 60.713ms, rate sampling interval: 236ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency    48.55ms   13.55ms 298.75ms   89.14%
    Req/Sec    24.81     41.23   106.00     75.33%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   47.74ms
 75.000%   54.62ms
 90.000%   62.05ms
 99.000%   94.91ms
 99.900%  129.28ms
 99.990%  299.01ms
 99.999%  299.01ms
100.000%  299.01ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

      32.367     0.000000            1         1.00
      36.767     0.100000          245         1.11
      37.919     0.200000          495         1.25
      39.327     0.300000          736         1.43
      41.695     0.400000          983         1.67
      47.743     0.500000         1225         2.00
      48.959     0.550000         1349         2.22
      49.759     0.600000         1470         2.50
      50.783     0.650000         1594         2.86
      52.223     0.700000         1715         3.33
      54.623     0.750000         1839         4.00
      56.831     0.775000         1899         4.44
      58.143     0.800000         1961         5.00
      59.103     0.825000         2026         5.71
      59.967     0.850000         2083         6.67
      61.119     0.875000         2144         8.00
      61.535     0.887500         2176         8.89
      62.047     0.900000         2205        10.00
      62.815     0.912500         2236        11.43
      63.903     0.925000         2267        13.33
      65.247     0.937500         2299        16.00
      66.303     0.943750         2313        17.78
      69.247     0.950000         2328        20.00
      70.527     0.956250         2343        22.86
      71.679     0.962500         2360        26.67
      72.639     0.968750         2374        32.00
      73.343     0.971875         2382        35.56
      74.559     0.975000         2389        40.00
      78.207     0.978125         2397        45.71
      82.047     0.981250         2405        53.33
      84.287     0.984375         2412        64.00
      89.343     0.985938         2416        71.11
      91.263     0.987500         2420        80.00
      94.591     0.989062         2424        91.43
      95.103     0.990625         2428       106.67
      95.999     0.992188         2431       128.00
      96.191     0.992969         2435       142.22
      96.191     0.993750         2435       160.00
      96.447     0.994531         2437       182.86
      96.575     0.995313         2439       213.33
      96.831     0.996094         2441       256.00
      96.895     0.996484         2443       284.44
      96.895     0.996875         2443       320.00
      97.023     0.997266         2444       365.71
     106.687     0.997656         2445       426.67
     124.671     0.998047         2446       512.00
     124.671     0.998242         2446       568.89
     125.183     0.998437         2447       640.00
     125.183     0.998633         2447       731.43
     129.279     0.998828         2448       853.33
     129.279     0.999023         2448      1024.00
     129.279     0.999121         2448      1137.78
     276.735     0.999219         2449      1280.00
     276.735     0.999316         2449      1462.86
     276.735     0.999414         2449      1706.67
     276.735     0.999512         2449      2048.00
     276.735     0.999561         2449      2275.56
     299.007     0.999609         2450      2560.00
     299.007     1.000000         2450          inf
#[Mean    =       48.548, StdDeviation   =       13.548]
#[Max     =      298.752, Total count    =         2450]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  2953 requests in 1.00m, 1.53MB read
Requests/sec:     49.18
Transfer/sec:     26.18KB
