Running 1m test @ https://dotnet-matrix-linux-310-westeurope.azurewebsites.net/api/matrix
  2 threads and 25 connections
  Thread calibration: mean lat.: 171.043ms, rate sampling interval: 454ms
  Thread calibration: mean lat.: 141.342ms, rate sampling interval: 425ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency   157.28ms   55.56ms 476.16ms   74.92%
    Req/Sec    12.26     11.63    28.00     70.67%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%  151.55ms
 75.000%  190.34ms
 90.000%  219.65ms
 99.000%  347.14ms
 99.900%  466.94ms
 99.990%  476.42ms
 99.999%  476.42ms
100.000%  476.42ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

      46.879     0.000000            1         1.00
      89.343     0.100000          125         1.11
     114.687     0.200000          250         1.25
     129.151     0.300000          376         1.43
     139.903     0.400000          500         1.67
     151.551     0.500000          624         2.00
     158.335     0.550000          689         2.22
     165.119     0.600000          750         2.50
     172.799     0.650000          812         2.86
     182.271     0.700000          874         3.33
     190.335     0.750000          938         4.00
     195.839     0.775000          968         4.44
     199.423     0.800000         1000         5.00
     204.159     0.825000         1031         5.71
     207.487     0.850000         1062         6.67
     212.223     0.875000         1093         8.00
     215.935     0.887500         1109         8.89
     220.031     0.900000         1124        10.00
     226.047     0.912500         1140        11.43
     230.527     0.925000         1155        13.33
     233.599     0.937500         1170        16.00
     238.079     0.943750         1178        17.78
     240.895     0.950000         1187        20.00
     245.631     0.956250         1194        22.86
     251.135     0.962500         1202        26.67
     255.743     0.968750         1209        32.00
     263.679     0.971875         1214        35.56
     270.079     0.975000         1217        40.00
     272.639     0.978125         1221        45.71
     300.031     0.981250         1226        53.33
     310.527     0.984375         1229        64.00
     320.511     0.985938         1231        71.11
     327.679     0.987500         1233        80.00
     339.455     0.989062         1235        91.43
     350.207     0.990625         1237       106.67
     356.607     0.992188         1239       128.00
     364.031     0.992969         1240       142.22
     364.287     0.993750         1241       160.00
     371.199     0.994531         1242       182.86
     404.479     0.995313         1243       213.33
     441.087     0.996094         1244       256.00
     441.087     0.996484         1244       284.44
     447.743     0.996875         1245       320.00
     447.743     0.997266         1245       365.71
     455.167     0.997656         1246       426.67
     455.167     0.998047         1246       512.00
     455.167     0.998242         1246       568.89
     466.943     0.998437         1247       640.00
     466.943     0.998633         1247       731.43
     466.943     0.998828         1247       853.33
     466.943     0.999023         1247      1024.00
     466.943     0.999121         1247      1137.78
     476.415     0.999219         1248      1280.00
     476.415     1.000000         1248          inf
#[Mean    =      157.275, StdDeviation   =       55.556]
#[Max     =      476.160, Total count    =         1248]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  1500 requests in 1.00m, 423.21KB read
Requests/sec:     24.90
Transfer/sec:      7.02KB
