Running 1m test @ https://node-matrix-linux-167-westeurope.azurewebsites.net/api/matrix
  2 threads and 25 connections
  Thread calibration: mean lat.: 171.336ms, rate sampling interval: 498ms
  Thread calibration: mean lat.: 210.519ms, rate sampling interval: 566ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency   205.29ms  106.64ms 859.14ms   79.25%
    Req/Sec    12.28      9.25    24.00     57.98%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%  193.02ms
 75.000%  246.78ms
 90.000%  320.26ms
 99.000%  646.14ms
 99.900%  850.43ms
 99.990%  859.65ms
 99.999%  859.65ms
100.000%  859.65ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

      60.703     0.000000            1         1.00
      99.327     0.100000          125         1.11
     115.967     0.200000          250         1.25
     137.727     0.300000          375         1.43
     176.767     0.400000          500         1.67
     193.023     0.500000          624         2.00
     197.887     0.550000          687         2.22
     205.951     0.600000          751         2.50
     215.679     0.650000          812         2.86
     225.919     0.700000          874         3.33
     246.783     0.750000          936         4.00
     257.535     0.775000          968         4.44
     269.055     0.800000         1001         5.00
     280.063     0.825000         1030         5.71
     289.791     0.850000         1062         6.67
     305.407     0.875000         1093         8.00
     312.319     0.887500         1108         8.89
     320.511     0.900000         1124        10.00
     332.543     0.912500         1141        11.43
     349.695     0.925000         1155        13.33
     367.615     0.937500         1170        16.00
     377.087     0.943750         1178        17.78
     387.839     0.950000         1186        20.00
     399.359     0.956250         1194        22.86
     430.591     0.962500         1202        26.67
     445.439     0.968750         1209        32.00
     480.511     0.971875         1213        35.56
     492.287     0.975000         1217        40.00
     523.263     0.978125         1221        45.71
     534.015     0.981250         1225        53.33
     572.927     0.984375         1229        64.00
     580.607     0.985938         1231        71.11
     602.111     0.987500         1233        80.00
     634.879     0.989062         1235        91.43
     646.143     0.990625         1237       106.67
     655.359     0.992188         1239       128.00
     663.039     0.992969         1240       142.22
     697.343     0.993750         1241       160.00
     708.607     0.994531         1242       182.86
     711.679     0.995313         1243       213.33
     757.759     0.996094         1244       256.00
     757.759     0.996484         1244       284.44
     788.479     0.996875         1245       320.00
     788.479     0.997266         1245       365.71
     793.599     0.997656         1246       426.67
     793.599     0.998047         1246       512.00
     793.599     0.998242         1246       568.89
     850.431     0.998437         1247       640.00
     850.431     0.998633         1247       731.43
     850.431     0.998828         1247       853.33
     850.431     0.999023         1247      1024.00
     850.431     0.999121         1247      1137.78
     859.647     0.999219         1248      1280.00
     859.647     1.000000         1248          inf
#[Mean    =      205.294, StdDeviation   =      106.644]
#[Max     =      859.136, Total count    =         1248]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  1500 requests in 1.00m, 388.18KB read
Requests/sec:     24.94
Transfer/sec:      6.45KB
