Running 1m test @ https://europe-west1-double-catfish-238707.cloudfunctions.net/Go_matrix
  2 threads and 50 connections
  Thread calibration: mean lat.: 279.072ms, rate sampling interval: 876ms
  Thread calibration: mean lat.: 300.120ms, rate sampling interval: 1242ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency   271.31ms  160.16ms 980.99ms   71.88%
    Req/Sec    24.86      7.20    42.00     80.21%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%  252.29ms
 75.000%  349.95ms
 90.000%  466.94ms
 99.000%  776.19ms
 99.900%  976.90ms
 99.990%  981.50ms
 99.999%  981.50ms
100.000%  981.50ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

      36.031     0.000000            1         1.00
      87.103     0.100000          251         1.11
     133.375     0.200000          500         1.25
     172.543     0.300000          751         1.43
     214.911     0.400000         1000         1.67
     252.287     0.500000         1250         2.00
     271.871     0.550000         1377         2.22
     291.071     0.600000         1502         2.50
     312.319     0.650000         1625         2.86
     329.727     0.700000         1752         3.33
     349.951     0.750000         1877         4.00
     359.679     0.775000         1938         4.44
     373.247     0.800000         2002         5.00
     385.023     0.825000         2063         5.71
     410.367     0.850000         2127         6.67
     433.663     0.875000         2189         8.00
     449.023     0.887500         2219         8.89
     466.943     0.900000         2250        10.00
     484.095     0.912500         2282        11.43
     521.215     0.925000         2313        13.33
     550.399     0.937500         2344        16.00
     570.879     0.943750         2360        17.78
     589.311     0.950000         2375        20.00
     614.399     0.956250         2391        22.86
     635.391     0.962500         2407        26.67
     649.215     0.968750         2422        32.00
     669.183     0.971875         2430        35.56
     680.447     0.975000         2438        40.00
     703.999     0.978125         2446        45.71
     724.991     0.981250         2454        53.33
     737.791     0.984375         2461        64.00
     745.471     0.985938         2465        71.11
     762.879     0.987500         2469        80.00
     771.071     0.989062         2473        91.43
     794.623     0.990625         2477       106.67
     852.991     0.992188         2481       128.00
     859.647     0.992969         2483       142.22
     875.519     0.993750         2485       160.00
     887.295     0.994531         2487       182.86
     901.119     0.995313         2489       213.33
     906.239     0.996094         2491       256.00
     909.823     0.996484         2492       284.44
     919.039     0.996875         2493       320.00
     942.079     0.997266         2494       365.71
     946.687     0.997656         2495       426.67
     951.807     0.998047         2496       512.00
     951.807     0.998242         2496       568.89
     969.215     0.998437         2497       640.00
     969.215     0.998633         2497       731.43
     976.895     0.998828         2498       853.33
     976.895     0.999023         2498      1024.00
     976.895     0.999121         2498      1137.78
     980.991     0.999219         2499      1280.00
     980.991     0.999316         2499      1462.86
     980.991     0.999414         2499      1706.67
     980.991     0.999512         2499      2048.00
     980.991     0.999561         2499      2275.56
     981.503     0.999609         2500      2560.00
     981.503     1.000000         2500          inf
#[Mean    =      271.307, StdDeviation   =      160.158]
#[Max     =      980.992, Total count    =         2500]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  2952 requests in 1.00m, 1.31MB read
Requests/sec:     49.07
Transfer/sec:     22.23KB
