Running 1m test @ https://europe-west1-double-catfish-238707.cloudfunctions.net/node_matrix
  2 threads and 50 connections
  Thread calibration: mean lat.: 413.608ms, rate sampling interval: 1086ms
  Thread calibration: mean lat.: 273.668ms, rate sampling interval: 832ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency   265.16ms  115.28ms 628.74ms   70.30%
    Req/Sec    24.81      6.13    35.00     85.58%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%  284.93ms
 75.000%  338.69ms
 90.000%  385.79ms
 99.000%  571.90ms
 99.900%  605.70ms
 99.990%  629.25ms
 99.999%  629.25ms
100.000%  629.25ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

      40.127     0.000000            1         1.00
      91.135     0.100000          250         1.11
     158.463     0.200000          501         1.25
     205.439     0.300000          750         1.43
     249.983     0.400000         1000         1.67
     284.927     0.500000         1250         2.00
     296.447     0.550000         1374         2.22
     307.711     0.600000         1499         2.50
     318.975     0.650000         1624         2.86
     329.215     0.700000         1754         3.33
     338.687     0.750000         1876         4.00
     343.807     0.775000         1937         4.44
     350.463     0.800000         1999         5.00
     357.119     0.825000         2062         5.71
     366.079     0.850000         2124         6.67
     374.783     0.875000         2186         8.00
     380.415     0.887500         2219         8.89
     386.559     0.900000         2249        10.00
     396.543     0.912500         2281        11.43
     404.479     0.925000         2311        13.33
     419.071     0.937500         2342        16.00
     425.983     0.943750         2358        17.78
     437.503     0.950000         2374        20.00
     454.399     0.956250         2389        22.86
     474.879     0.962500         2405        26.67
     493.823     0.968750         2420        32.00
     508.415     0.971875         2428        35.56
     521.983     0.975000         2436        40.00
     530.431     0.978125         2444        45.71
     540.159     0.981250         2452        53.33
     546.815     0.984375         2460        64.00
     551.935     0.985938         2463        71.11
     566.783     0.987500         2467        80.00
     571.391     0.989062         2472        91.43
     573.951     0.990625         2475       106.67
     579.583     0.992188         2480       128.00
     580.095     0.992969         2482       142.22
     581.119     0.993750         2483       160.00
     584.191     0.994531         2485       182.86
     588.799     0.995313         2488       213.33
     589.311     0.996094         2489       256.00
     590.847     0.996484         2490       284.44
     592.383     0.996875         2491       320.00
     592.895     0.997266         2492       365.71
     601.087     0.997656         2493       426.67
     604.159     0.998047         2494       512.00
     604.159     0.998242         2494       568.89
     605.183     0.998437         2495       640.00
     605.183     0.998633         2495       731.43
     605.695     0.998828         2496       853.33
     605.695     0.999023         2496      1024.00
     605.695     0.999121         2496      1137.78
     606.207     0.999219         2497      1280.00
     606.207     0.999316         2497      1462.86
     606.207     0.999414         2497      1706.67
     606.207     0.999512         2497      2048.00
     606.207     0.999561         2497      2275.56
     629.247     0.999609         2498      2560.00
     629.247     1.000000         2498          inf
#[Mean    =      265.161, StdDeviation   =      115.275]
#[Max     =      628.736, Total count    =         2498]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  2977 requests in 1.00m, 1.54MB read
Requests/sec:     49.53
Transfer/sec:     26.31KB
