Running 1m test @ https://us-east.functions.cloud.ibm.com/api/v1/web/functionOrg_functionSpace/default/node_matrix.json
  2 threads and 10 connections
  Thread calibration: mean lat.: 477.167ms, rate sampling interval: 1753ms
  Thread calibration: mean lat.: 403.770ms, rate sampling interval: 1697ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency   288.51ms  140.57ms 957.95ms   67.60%
    Req/Sec     4.39      0.87     5.00     96.49%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%  201.60ms
 75.000%  446.46ms
 90.000%  476.16ms
 99.000%  602.11ms
 99.900%  958.46ms
 99.990%  958.46ms
 99.999%  958.46ms
100.000%  958.46ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

     148.735     0.000000            1         1.00
     169.855     0.100000           50         1.11
     177.279     0.200000          102         1.25
     185.471     0.300000          151         1.43
     192.383     0.400000          200         1.67
     201.599     0.500000          250         2.00
     209.535     0.550000          275         2.22
     231.551     0.600000          300         2.50
     290.815     0.650000          325         2.86
     436.479     0.700000          350         3.33
     446.463     0.750000          375         4.00
     449.791     0.775000          389         4.44
     455.167     0.800000          400         5.00
     460.287     0.825000          414         5.71
     465.151     0.850000          426         6.67
     471.039     0.875000          438         8.00
     472.575     0.887500          444         8.89
     476.159     0.900000          450        10.00
     483.071     0.912500          457        11.43
     487.167     0.925000          463        13.33
     493.567     0.937500          469        16.00
     498.431     0.943750          472        17.78
     499.711     0.950000          475        20.00
     503.807     0.956250          479        22.86
     515.839     0.962500          482        26.67
     528.895     0.968750          485        32.00
     529.407     0.971875          486        35.56
     566.271     0.975000          488        40.00
     574.975     0.978125          490        45.71
     576.511     0.981250          491        53.33
     585.727     0.984375          493        64.00
     585.727     0.985938          493        71.11
     589.823     0.987500          494        80.00
     602.111     0.989062          495        91.43
     638.975     0.990625          496       106.67
     653.823     0.992188          497       128.00
     653.823     0.992969          497       142.22
     653.823     0.993750          497       160.00
     678.911     0.994531          498       182.86
     678.911     0.995313          498       213.33
     864.255     0.996094          499       256.00
     864.255     0.996484          499       284.44
     864.255     0.996875          499       320.00
     864.255     0.997266          499       365.71
     864.255     0.997656          499       426.67
     958.463     0.998047          500       512.00
     958.463     1.000000          500          inf
#[Mean    =      288.508, StdDeviation   =      140.567]
#[Max     =      957.952, Total count    =          500]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  595 requests in 1.00m, 529.34KB read
Requests/sec:      9.89
Transfer/sec:      8.80KB
