Running 1m test @ https://us-east.functions.cloud.ibm.com/api/v1/web/functionOrg_functionSpace/default/node_matrix.json
  2 threads and 25 connections
  Thread calibration: mean lat.: 420.162ms, rate sampling interval: 1574ms
  Thread calibration: mean lat.: 340.397ms, rate sampling interval: 1000ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency   259.06ms  119.42ms 929.79ms   75.26%
    Req/Sec    12.12      2.41    20.00     85.00%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%  196.86ms
 75.000%  350.46ms
 90.000%  459.77ms
 99.000%  503.55ms
 99.900%  572.41ms
 99.990%  930.30ms
 99.999%  930.30ms
100.000%  930.30ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

     130.815     0.000000            1         1.00
     165.759     0.100000          128         1.11
     172.671     0.200000          250         1.25
     179.967     0.300000          377         1.43
     186.623     0.400000          503         1.67
     196.863     0.500000          625         2.00
     201.727     0.550000          688         2.22
     209.279     0.600000          751         2.50
     220.671     0.650000          812         2.86
     245.375     0.700000          875         3.33
     350.463     0.750000          937         4.00
     432.127     0.775000          968         4.44
     439.295     0.800000         1001         5.00
     444.927     0.825000         1031         5.71
     449.279     0.850000         1064         6.67
     454.655     0.875000         1093         8.00
     457.471     0.887500         1109         8.89
     459.775     0.900000         1125        10.00
     461.823     0.912500         1140        11.43
     465.919     0.925000         1156        13.33
     469.247     0.937500         1171        16.00
     471.551     0.943750         1179        17.78
     473.343     0.950000         1188        20.00
     475.135     0.956250         1195        22.86
     477.951     0.962500         1204        26.67
     479.999     0.968750         1211        32.00
     481.535     0.971875         1214        35.56
     483.583     0.975000         1218        40.00
     485.631     0.978125         1222        45.71
     488.959     0.981250         1226        53.33
     494.591     0.984375         1230        64.00
     496.895     0.985938         1232        71.11
     500.223     0.987500         1234        80.00
     503.295     0.989062         1236        91.43
     503.551     0.990625         1238       106.67
     508.159     0.992188         1240       128.00
     509.439     0.992969         1241       142.22
     515.071     0.993750         1242       160.00
     525.823     0.994531         1243       182.86
     534.015     0.995313         1244       213.33
     536.575     0.996094         1245       256.00
     536.575     0.996484         1245       284.44
     558.591     0.996875         1246       320.00
     558.591     0.997266         1246       365.71
     569.855     0.997656         1247       426.67
     569.855     0.998047         1247       512.00
     569.855     0.998242         1247       568.89
     572.415     0.998437         1248       640.00
     572.415     0.998633         1248       731.43
     572.415     0.998828         1248       853.33
     572.415     0.999023         1248      1024.00
     572.415     0.999121         1248      1137.78
     930.303     0.999219         1249      1280.00
     930.303     1.000000         1249          inf
#[Mean    =      259.062, StdDeviation   =      119.420]
#[Max     =      929.792, Total count    =         1249]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  1512 requests in 1.00m, 1.31MB read
Requests/sec:     25.18
Transfer/sec:     22.40KB
