Running 1m test @ https://us-east.functions.cloud.ibm.com/api/v1/web/functionOrg_functionSpace/default/python_matrix.json
  2 threads and 10 connections
  Thread calibration: mean lat.: 775.339ms, rate sampling interval: 2953ms
  Thread calibration: mean lat.: 808.268ms, rate sampling interval: 2787ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency   565.38ms  112.98ms 863.23ms   75.60%
    Req/Sec     4.64      0.69     6.00    100.00%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%  531.46ms
 75.000%  630.78ms
 90.000%  749.05ms
 99.000%  844.80ms
 99.900%  863.74ms
 99.990%  863.74ms
 99.999%  863.74ms
100.000%  863.74ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

     340.735     0.000000            1         1.00
     460.287     0.100000           50         1.11
     478.207     0.200000          100         1.25
     494.079     0.300000          150         1.43
     511.231     0.400000          200         1.67
     531.455     0.500000          251         2.00
     542.719     0.550000          276         2.22
     554.495     0.600000          300         2.50
     581.119     0.650000          325         2.86
     614.911     0.700000          350         3.33
     630.783     0.750000          375         4.00
     638.463     0.775000          388         4.44
     651.263     0.800000          400         5.00
     677.887     0.825000          413         5.71
     734.719     0.850000          425         6.67
     741.375     0.875000          440         8.00
     744.447     0.887500          445         8.89
     749.055     0.900000          450        10.00
     753.151     0.912500          457        11.43
     759.295     0.925000          463        13.33
     765.439     0.937500          469        16.00
     770.047     0.943750          472        17.78
     774.143     0.950000          475        20.00
     780.287     0.956250          479        22.86
     786.431     0.962500          482        26.67
     797.183     0.968750          485        32.00
     799.231     0.971875          486        35.56
     811.519     0.975000          488        40.00
     824.831     0.978125          490        45.71
     836.607     0.981250          492        53.33
     837.119     0.984375          493        64.00
     837.119     0.985938          493        71.11
     840.191     0.987500          494        80.00
     844.799     0.989062          495        91.43
     850.431     0.990625          496       106.67
     850.943     0.992188          497       128.00
     850.943     0.992969          497       142.22
     850.943     0.993750          497       160.00
     852.479     0.994531          498       182.86
     852.479     0.995313          498       213.33
     860.159     0.996094          499       256.00
     860.159     0.996484          499       284.44
     860.159     0.996875          499       320.00
     860.159     0.997266          499       365.71
     860.159     0.997656          499       426.67
     863.743     0.998047          500       512.00
     863.743     1.000000          500          inf
#[Mean    =      565.378, StdDeviation   =      112.977]
#[Max     =      863.232, Total count    =          500]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  595 requests in 1.00m, 529.34KB read
Requests/sec:      9.90
Transfer/sec:      8.81KB
