rps,Aws-go-50,Aws-go-95,Aws-go-99,Google-go-50,Google-go-95,Google-go-99,Ibm-go-50,Ibm-go-95,Ibm-go-99
10,42,53,67,,,,,,
25,41,51,71,,,,,,
50,41,52,61,,,,,,
100,41,55,68,,,,,,
200,44,89,106,,,,,,
400,44,61,85,,,,,,
800,43,73,104,,,,,,
1000,47,103,151,,,,,,
,,,,97,266,386,,,
,,,,125,310,442,,,
,,,,252,589,776,,,
,,,,154,756,1350,,,
,,,,123,429,724,,,
,,,,124,325,620,,,
,,,,70,225,416,,,
,,,,78,271,512,,,
,,,,,,,447,21971,26070
,,,,,,,230,20234,24890
,,,,,,,205,19415,23870
,,,,,,,221,17891,25560
,,,,,,,204,10568,21790
,,,,,,,457,27820,34640
,,,,,,,253,8774,20910
,,,,,,,266,654,10180
