rps,Aws-node-50,Aws-node-95,Aws-node-99,Azure-node-50,Azure-node-95,Azure-node-99,Azure-win-node-50,Azure-win-node-95,Azure-win-node-99,Google-node-50,Google-node-95,Google-node-99,Ibm-node-50,Ibm-node-95,Ibm-node-99
10,49,63,88,,,,,,,,,,,,
25,49,79,98,,,,,,,,,,,,
50,48,69,95,,,,,,,,,,,,
100,47,68,98,,,,,,,,,,,,
200,47,65,80,,,,,,,,,,,,
400,51,77,97,,,,,,,,,,,,
800,51,92,175,,,,,,,,,,,,
1000,48,77,149,,,,,,,,,,,,
,,,,105,221,340,,,,,,,,,
,,,,193,388,646,,,,,,,,,
,,,,379,579,744,,,,,,,,,
,,,,614,997,1850,,,,,,,,,
,,,,4650,8495,10130,,,,,,,,,
,,,,17190,24642,26100,,,,,,,,,
,,,,24480,37027,38700,,,,,,,,,
,,,,24840,37388,39290,,,,,,,,,
,,,,,,,86,190,513,,,,,,
,,,,,,,136,269,515,,,,,,
,,,,,,,348,585,780,,,,,,
,,,,,,,413,799,1340,,,,,,
,,,,,,,409,1161,3600,,,,,,
,,,,,,,420,829,1520,,,,,,
,,,,,,,318,2703,4640,,,,,,
,,,,,,,234,630,1210,,,,,,
,,,,,,,,,,90,174,193,,,
,,,,,,,,,,181,314,367,,,
,,,,,,,,,,285,438,572,,,
,,,,,,,,,,120,2026,3870,,,
,,,,,,,,,,159,545,688,,,
,,,,,,,,,,222,389,500,,,
,,,,,,,,,,108,560,1190,,,
,,,,,,,,,,73,283,460,,,
,,,,,,,,,,,,,201,500,602
,,,,,,,,,,,,,197,473,504
,,,,,,,,,,,,,201,462,635
,,,,,,,,,,,,,221,499,900
,,,,,,,,,,,,,342,11747,14730
,,,,,,,,,,,,,271,526,727
,,,,,,,,,,,,,275,524,657
,,,,,,,,,,,,,252,505,694
