provider,runtime,rps,rps_achieved,number_of_requests,errors,http_errors,rps_corrected,avg,min,max,stdv,50%,95%,99%
aws,node,10,9.99,600,0,0,10,48.134,33.791,176.256,12.519,48.67,62.91,88.45
aws,node,25,24.74,1488,0,0,24.8,51.412,33.503,247.168,15.415,49.22,79.1,97.98
aws,node,50,49.18,2953,0,0,49.21666666666667,48.548,32.367,298.752,13.548,47.74,69.25,94.91
aws,node,100,98.26,5902,0,0,98.36666666666666,49.040,32.735,155.520,12.983,47.10,67.65,98.18
aws,node,200,196.57,11804,0,0,196.73333333333332,47.435,32.047,183.424,11.414,46.85,64.58,79.68
aws,node,400,393.12,23606,0,0,393.43333333333334,53.334,31.967,259.072,13.236,50.97,76.61,96.77
aws,node,800,786.17,47173,14,0,786.2166666666667,58.015,32.063,624.640,42.692,50.88,91.52,174.72
aws,node,1000,979.15,58765,5,0,979.4166666666666,52.591,32.991,632.320,29.679,47.68,76.54,149.38
aws,python,10,9.98,600,0,0,10,255.308,232.447,332.800,18.123,251.52,292.61,315.39
aws,python,25,25.13,1512,0,0,25.2,248.647,226.431,357.376,13.980,247.17,273.15,299.77
aws,python,50,49.84,3000,0,0,50,247.678,224.895,351.744,14.411,245.89,268.54,310.02
aws,python,100,97.96,5902,0,0,98.36666666666666,249.032,225.023,375.040,12.297,247.42,266.75,289.28
aws,python,200,195.81,11802,0,0,196.7,248.701,225.023,395.776,11.863,247.42,268.03,288.26
aws,python,400,391.83,23603,0,0,393.3833333333333,257.372,226.175,791.552,20.346,257.28,285.18,298.75
aws,python,800,784.73,47103,0,0,785.05,263.280,225.663,1119.232,65.255,250.88,297.73,638.46
aws,python,1000,978.17,58693,30,0,978.2166666666667,264.277,225.919,953.856,56.441,251.13,323.07,566.78
aws,go,10,10.03,602,0,0,10.033333333333333,39.980,27.567,90.944,8.439,42.37,52.54,66.62
aws,go,25,25.16,1512,0,0,25.2,39.066,26.479,179.840,9.902,41.18,50.62,71.23
aws,go,50,49.20,2954,0,0,49.233333333333334,40.190,26.911,202.368,10.565,41.02,51.78,61.47
aws,go,100,98.33,5903,0,0,98.38333333333334,41.908,27.631,511.488,17.896,41.28,55.42,67.58
aws,go,200,196.55,11804,0,0,196.73333333333332,47.397,27.263,198.272,16.669,44.42,89.34,106.05
aws,go,400,393.14,23603,0,0,393.3833333333333,44.432,26.671,210.048,11.454,43.65,61.02,85.12
aws,go,800,786.22,47183,0,0,786.3833333333333,45.783,26.463,320.256,18.199,43.49,73.22,104.19
aws,go,1000,976.85,58627,0,0,977.1166666666667,55.987,26.815,651.776,39.887,46.85,103.17,151.04
aws,dotnet,10,10.02,602,0,0,10.033333333333333,45.817,31.279,603.648,27.212,45.69,61.09,81.28
aws,dotnet,25,24.93,1500,0,0,25,50.072,30.543,598.528,52.146,45.09,62.66,504.32
